| Geography | Korea, South |
| --- | --- |
| Location: | Eastern Asia, southern half of the Korean Peninsula bordering the Sea of Japan and the Yellow Sea |
| Geographic coordinates: | 37 00 N, 127 30 E |
| Map references: | Asia |
| Area: | total: 99,720 sq km |
| Area: | land: 96,920 sq km |
| Area: | water: 2,800 sq km |
| Area - comparative: | slightly smaller than Pennsylvania; slightly larger than Indiana |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | East Asia/Southeast Asia :: Korea, South Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly smaller than Pennsylvania; slightly larger than Indiana |
| Land boundaries: | total: 237 km |
| Land boundaries: | border countries (1): North Korea 237 km |
| Coastline: | 2,413 km |
| Maritime claims: | territorial sea: 12 nm; between 3 nm and 12 nm in the Korea Strait |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: not specified |
| Climate: | temperate, with rainfall heavier in summer than winter; cold winters |
| Terrain: | mostly hills and mountains; wide coastal plains in west and south |
| Elevation: | mean elevation: 282 m |
| Elevation: | elevation extremes: 0 m lowest point: Sea of Japan |
| Elevation: | 1950 highest point: Halla-san |
| Natural resources: | coal, tungsten, graphite, molybdenum, lead, hydropower potential |
| Land use: | agricultural land: 18.1% (2011 est.) |
| Land use: | arable land: 15.3% (2011 est.) / permanent crops: 2.2% (2011 est.) / permanent pasture: 0.6% (2011 est.) |
| Land use: | forest: 63.9% (2011 est.) |
| Land use: | other: 18% (2011 est.) |
| Irrigated land: | 7,780 sq km (2012) |
| Population distribution: | with approximately 70% of the country considered mountainous, the country's population is primarily concentrated in the lowland areas, where density is quite high; Gyeonggi Province in the northwest, which surrounds the capital of Seoul and contains the port of Incheon, is the most densely populated province; Gangwon in the northeast is the least populated |
| Natural hazards: | occasional typhoons bring high winds and floods; low-level seismic activity common in southwest |
| Natural hazards: | volcanism: Halla (1,950 m) is considered historically active although it has not erupted in many centuries |
| Environment - current issues: | air pollution in large cities; acid rain; water pollution from the discharge of sewage and industrial effluents; drift net fishing; solid waste disposal; transboundary pollution |
| Environment - international agreements: | party to: Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | strategic location on Korea Strait; about 3,000 mostly small and uninhabited islands lie off the western and southern coasts |
