| Geography | UNITED KINGDOM |
| --- | --- |
| Location: | Western Europe, islands - including the northern one-sixth of the island of Ireland - between the North Atlantic Ocean and the North Sea; northwest of France |
| Geographic coordinates: | 54 00 N, 2 00 W |
| Map references: | Europe |
| Area: | total: 243,610 sq km |
| Area: | land: 241,930 sq km |
| Area: | water: 1,680 sq km |
| Area: | note: includes Rockall and Shetland Islands |
| Area - comparative: | twice the size of Pennsylvania; slightly smaller than Oregon |
| Land boundaries: | total: 443 km |
| Land boundaries: | border countries (1): Ireland 443 km |
| Coastline: | 12,429 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive fishing zone: 200 nm |
| Maritime claims: | continental shelf: as defined in continental shelf orders or in accordance with agreed upon boundaries |
| Climate: | temperate; moderated by prevailing southwest winds over the North Atlantic Current; more than one-half of the days are overcast |
| Terrain: | mostly rugged hills and low mountains; level to rolling plains in east and southeast |
| Elevation: | mean elevation: 162 m |
| Elevation: | elevation extremes: lowest point: The Fens -4 m |
| Elevation: | highest point: Ben Nevis 1,343 m |
| Natural resources: | coal, petroleum, natural gas, iron ore, lead, zinc, gold, tin, limestone, salt, clay, chalk, gypsum, potash, silica sand, slate, arable land |
| Land use: | agricultural land: 71% |
| Land use: | arable land 25.1%; permanent crops 0.2%; permanent pasture 45.7% |
| Land use: | forest: 11.9% |
| Land use: | other: 17.1% (2011 est.) |
| Irrigated land: | 950 sq km (2012) |
| Population - distribution: | the core of the population lies in and around London, with significant clusters found in central Britain around Manchester and Liverpool, in the Scottish lowlands between Edinburgh and Glasgow, southern Wales in and around Cardiff, and far eastern Northern Ireland centered on Belfast |
| Natural hazards: | winter windstorms; floods |
| Environment - current issues: | continues to reduce greenhouse gas emissions, but air pollution remains a concern, particularly in the London region; soil pollution from pesticides and heavy metals; decline in marine and coastal habitats brought on by pressures from housing, tourism, and industry |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | lies near vital North Atlantic sea lanes; only 35 km from France and linked by tunnel under the English Channel (the Channel Tunnel or Chunnel); because of heavily indented coastline, no location is more than 125 km from tidal waters |
