| Geography | Iran |
| --- | --- |
| Location: | Middle East, bordering the Gulf of Oman, the Persian Gulf, and the Caspian Sea, between Iraq and Pakistan |
| Geographic coordinates: | 32 00 N, 53 00 E |
| Map references: | Middle East |
| Area: | total: 1,648,195 sq km |
| Area: | land: 1,531,595 sq km |
| Area: | water: 116,600 sq km |
| Area - comparative: | almost 2.5 times the size of Texas; slightly smaller than Alaska |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Middle East :: Iran Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | almost 2.5 times the size of Texas; slightly smaller than Alaska |
| Land boundaries: | total: 5,894 km |
| Land boundaries: | border countries (7): Afghanistan 921 km, Armenia 44 km, Azerbaijan 689 km, Iraq 1599 km, Pakistan 959 km, Turkey 534 km, Turkmenistan 1148 km |
| Coastline: | 2,440 km - note: Iran also borders the Caspian Sea (740 km) |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: bilateral agreements or median lines in the Persian Gulf |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: natural prolongation |
| Climate: | mostly arid or semiarid, subtropical along Caspian coast |
| Terrain: | rugged, mountainous rim; high, central basin with deserts, mountains; small, discontinuous plains along both coasts |
| Elevation: | mean elevation: 1,305 m |
| Elevation: | elevation extremes: -28 m lowest point: Caspian Sea |
| Elevation: | 5625 highest point: Kuh-e Damavand |
| Natural resources: | petroleum, natural gas, coal, chromium, copper, iron ore, lead, manganese, zinc, sulfur |
| Land use: | agricultural land: 30.1% (2011 est.) |
| Land use: | arable land: 10.8% (2011 est.) / permanent crops: 1.2% (2011 est.) / permanent pasture: 18.1% (2011 est.) |
| Land use: | forest: 6.8% (2011 est.) |
| Land use: | other: 63.1% (2011 est.) |
| Irrigated land: | 95,530 sq km (2012) |
| Population distribution: | population is concentrated in the north, northwest, and west, reflecting the position of the Zagros and Elburz Mountains; the vast dry areas in the center and eastern parts of the country, around the deserts of the Dasht-e Kavir and Dasht-e Lut, have a much lower population density |
| Natural hazards: | periodic droughts, floods; dust storms, sandstorms; earthquakes |
| Environment - current issues: | air pollution, especially in urban areas, from vehicle emissions, refinery operations, and industrial effluents; deforestation; overgrazing; desertification; oil pollution in the Persian Gulf; wetland losses from drought; soil degradation (salination); inadequate supplies of potable water; water pollution from raw sewage and industrial waste; urbanization |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Environmental Modification, Law of the Sea, Marine Life Conservation |
| Geography - note: | strategic location on the Persian Gulf and Strait of Hormuz, which are vital maritime pathways for crude oil transport |
