| Geography | Austria |
| --- | --- |
| Location: | Central Europe, north of Italy and Slovenia |
| Geographic coordinates: | 47 20 N, 13 20 E |
| Map references: | Europe |
| Area: | total: 83,871 sq km |
| Area: | land: 82,445 sq km |
| Area: | water: 1,426 sq km |
| Area - comparative: | slightly smaller than Maine |
| Land boundaries: | total: 2,524 km |
| Land boundaries: | border countries: Czech Republic 402 km, Germany 801 km, Hungary 321 km, Italy 404 km, Liechtenstein 34 km, Slovakia 105 km, Slovenia 299 km, Switzerland 158 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | temperate; continental, cloudy; cold winters with frequent rain and some snow in lowlands and snow in mountains; moderate summers with occasional showers |
| Terrain: | in the west and south mostly mountains (Alps); along the eastern and northern margins mostly flat or gently sloping |
| Elevation extremes: | lowest point: Neusiedler See 115 m |
| Elevation extremes: | highest point: Grossglockner 3,798 m |
| Natural resources: | oil, coal, lignite, timber, iron ore, copper, zinc, antimony, magnesite, tungsten, graphite, salt, hydropower |
| Land use: | arable land: 16.25% |
| Land use: | permanent crops: 0.77% |
| Land use: | other: 82.98% (2011) |
| Irrigated land: | 1,170 sq km (2007) |
| Total renewable water resources: | 77.7 cu km (2011) |
| Freshwater withdrawal (domestic/industrial/agricultural): | total: 3.66  cu km/yr (18%/79%/3%) |
| Freshwater withdrawal (domestic/industrial/agricultural): | per capita: 452.4  cu m/yr (2008) |
| Natural hazards: | landslides; avalanches; earthquakes |
| Environment - current issues: | some forest degradation caused by air and soil pollution; soil pollution results from the use of agricultural chemicals; air pollution results from emissions by coal- and oil-fired power stations and industrial plants and from trucks transiting Austria between northern and southern Europe |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 85, Air Pollution-Sulphur 94, Air Pollution-Volatile Organic Compounds, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | landlocked; strategic location at the crossroads of central Europe with many easily traversable Alpine passes and valleys; major river is the Danube; population is concentrated on eastern lowlands because of steep slopes, poor soils, and low temperatures elsewhere |
