| Geography | United Arab Emirates |
| --- | --- |
| Location: | Middle East, bordering the Gulf of Oman and the Persian Gulf, between Oman and Saudi Arabia |
| Geographic coordinates: | 24 00 N, 54 00 E |
| Map references: | Middle East |
| Area: | total: 83,600 sq km |
| Area: | land: 83,600 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | slightly larger than South Carolina; slightly smaller than Maine |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Middle East :: United Arab Emirates Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than South Carolina; slightly smaller than Maine |
| Land boundaries: | total: 1,066 km |
| Land boundaries: | border countries (2): Oman 609 km, Saudi Arabia 457 km |
| Coastline: | 1,318 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | desert; cooler in eastern mountains |
| Terrain: | flat, barren coastal plain merging into rolling sand dunes of vast desert; mountains in east |
| Elevation: | mean elevation: 149 m |
| Elevation: | lowest point: Persian Gulf 0 m |
| Elevation: | highest point: Jabal Yibir 1,527 m |
| Natural resources: | petroleum, natural gas |
| Land use: | agricultural land: 4.6% (2011 est.) |
| Land use: | arable land: 0.5% (2011 est.) / permanent crops: 0.5% (2011 est.) / permanent pasture: 3.6% (2011 est.) |
| Land use: | forest: 3.8% (2011 est.) |
| Land use: | other: 91.6% (2011 est.) |
| Irrigated land: | 923 sq km (2012) |
| Population distribution: | population is heavily concentrated to the northeast on the Musandam Peninsula; the three largest emirates - Abu Dhabi, Dubai, and Sharjah - are home to nearly 85% of the population |
| Natural hazards: | frequent sand and dust storms |
| Environment - current issues: | air pollution; rapid population growth and high energy demand contribute to water scarcity; lack of natural freshwater resources compensated by desalination plants; land degradation and desertification; waste generation, beach pollution from oil spills |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection |
| Environment - international agreements: | signed, but not ratified: Law of the Sea |
| Geography - note: | strategic location along southern approaches to Strait of Hormuz, a vital transit point for world crude oil |
