| Geography | Morocco |
| --- | --- |
| Location: | Northern Africa, bordering the North Atlantic Ocean and the Mediterranean Sea, between Algeria and Western Sahara |
| Geographic coordinates: | 32 00 N, 5 00 W |
| Map references: | Africa |
| Area: | total: 446,550 sq km |
| Area: | land: 446,300 sq km |
| Area: | water: 250 sq km |
| Area - comparative: | slightly more than three times the size of New York; slightly larger than California |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Morocco Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly more than three times the size of New York; slightly larger than California |
| Land boundaries: | total: 2,362.5 km |
| Land boundaries: | border countries (4): Algeria 1900 km, Western Sahara 444 km, Spain (Ceuta) 8 km, Spain (Melilla) 10.5 km |
| Land boundaries: | note: an additional 75-meter border segment exists between Morocco and the Spanish exclave of Penon de Velez de la Gomera |
| Coastline: | 1,835 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200-m depth or to the depth of exploitation |
| Climate: | Mediterranean, becoming more extreme in the interior |
| Terrain: | mountainous northern coast (Rif Mountains) and interior (Atlas Mountains) bordered by large plateaus with intermontane valleys, and fertile coastal plains |
| Elevation: | mean elevation: 909 m |
| Elevation: | lowest point: Sebkha Tah -59 m |
| Elevation: | highest point: Jebel Toubkal 4,165 m |
| Natural resources: | phosphates, iron ore, manganese, lead, zinc, fish, salt |
| Land use: | agricultural land: 67.5% (2011 est.) |
| Land use: | arable land: 17.5% (2011 est.) / permanent crops: 2.9% (2011 est.) / permanent pasture: 47.1% (2011 est.) |
| Land use: | forest: 11.5% (2011 est.) |
| Land use: | other: 21% (2011 est.) |
| Irrigated land: | 14,850 sq km (2012) |
| Population distribution: | the highest population density is found along the Atlantic and Mediterranean coasts; a number of densely populated agglomerations are found scattered through the Atlas Mountains |
| Natural hazards: | northern mountains geologically unstable and subject to earthquakes; periodic droughts; windstorms; flash floods; landslides |
| Environment - current issues: | land degradation/desertification (soil erosion resulting from farming of marginal areas, overgrazing, destruction of vegetation); water and soil pollution due to dumping of industrial wastes into the ocean and inland water sources, and onto the land |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: Environmental Modification |
| Geography - note: | strategic location along Strait of Gibraltar; the only African nation to have both Atlantic and Mediterranean coastlines |
