| Geography | Kosovo |
| --- | --- |
| Location: | Southeast Europe, between Serbia and Macedonia |
| Geographic coordinates: | 42 35 N, 21 00 E |
| Map references: | Europe |
| Area: | total: 10,887 sq km |
| Area: | land: 10,887 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | slightly larger than Delaware |
| Land boundaries: | total: 714 km |
| Land boundaries: | border countries (4): Albania 112 km, Macedonia 160 km, Montenegro 76 km, Serbia 366 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | influenced by continental air masses resulting in relatively cold winters with heavy snowfall and hot, dry summers and autumns; Mediterranean and alpine influences create regional variation; maximum rainfall between October and December |
| Terrain: | flat fluvial basin at an elevation of 400-700 m above sea level surrounded by several high mountain ranges with elevations of 2,000 to 2,500 m |
| Elevation: | mean elevation: 450 m |
| Elevation: | elevation extremes: 297 m lowest point: Drini i Bardhe/Beli Drim (located on the border with Albania) |
| Elevation: | 2656 highest point: Gjeravica/Deravica |
| Natural resources: | nickel, lead, zinc, magnesium, lignite, kaolin, chrome, bauxite |
| Land use: | agricultural land: 52.8% (2001 est.) |
| Land use: | arable land: 27.4% (2001 est.) / permanent crops: 1.9% (2001 est.) / permanent pasture: 23.5% (2001 est.) |
| Land use: | forest: 41.7% (2001 est.) |
| Land use: | other: 5.5% (2001 est.) |
| Irrigated land: | NA |
| Population distribution: | population clusters exist throughout the country, the largest being in the east in and around the capital of Pristina |
| Environment - current issues: | air pollution (pollution from power plants and nearby lignite mines take a toll on people's health); water scarcity and pollution; land degradation |
| Geography - note: | the 41-km long Nerodimka River divides into two branches each of which flows into a different sea: the northern branch flows into the Sitnica River, which via the Ibar, Morava, and Danube Rivers ultimately flows into the Black Sea; the southern branch flows via the Lepenac and Vardar Rivers into the Aegean Sea |
