| Geography | Iles Eparses |
| --- | --- |
| Location: | Southern Africa, in the Indian Ocean |
| Location: | Bassas da India: atoll in the southern Mozambique Channel, about half way from Madagascar to Mozambique |
| Location: | Europa Island: island in the Mozambique Channel, about half way between southern Madagascar and southern Mozambique |
| Location: | Glorioso Islands: group of islands in the Indian Ocean, northwest of Madagascar |
| Location: | Juan de Nova Island: island in the Mozambique Channel, about one-third of the way between Madagascar and Mozambique |
| Location: | Tromelin Island: island in the Indian Ocean, east of Madagascar |
| Geographic coordinates: | Bassas da India: 21 30 S, 39 50 E |
| Geographic coordinates: | Europa Island: 22 20 S, 40 22 E |
| Geographic coordinates: | Glorioso Islands: 11 30 S, 47 20 E |
| Geographic coordinates: | Juan de Nova Island: 17 03 S, 42 45 E |
| Geographic coordinates: | Tromelin Island: 15 52 S, 54 25 E |
| Map references: | Africa |
| Area: | Bassas da India: total - 80 sq km; land - 0.2 sq km; water - 79.8 sq km (lagoon) |
| Area: | Europa Island: total - 28 sq km; land - 28 sq km; water - 0 sq km |
| Area: | Glorioso Islands: total - 5 sq km; land - 5 sq km; water - 0 sq km |
| Area: | Juan de Nova Island: total - 4.4 sq km; land - 4.4 sq km; water - 0 sq km |
| Area: | Tromelin Island: total - 1 sq km; land - 1 sq km; water - 0 sq km |
| Area - comparative: | Bassas da India: land area about one-third the size of The Mall in Washington, DC |
| Area - comparative: | Europa Island: about one-sixth the size of Washington, DC |
| Area - comparative: | Glorioso Islands: about eight times the size of The Mall in Washington, DC |
| Area - comparative: | Juan de Nova Island: about seven times the size of The Mall in Washington, DC |
| Area - comparative: | Tromelin Island: about 1.7 times the size of The Mall in Washington, DC |
| Land boundaries: | none |
| Coastline: | Bassas da India: 35.2 km |
| Coastline: | Europa Island: 22.2 km |
| Coastline: | Glorioso Islands: 35.2 km |
| Coastline: | Juan de Nova Island: 24.1 km |
| Coastline: | Tromelin Island: 3.7 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm; note - Juan de Nova Island and Tromelin Island claim a continental shelf of 200-m depth or to the depth of exploitation |
| Climate: | tropical |
| Terrain: | Bassas da India: atoll, awash at high tide; shallow (15 m) lagoon |
| Terrain: | Europa Island, Glorioso Islands, Juan de Nova Island: low, flat, and sandy |
| Terrain: | Tromelin Island: low, flat, sandy; likely volcanic seamount |
| Elevation extremes: | lowest point: Indian Ocean 0 m |
| Elevation extremes: | highest point: Bassas da India 2.4 m; Europa Island 24 m; Glorioso Islands 12 m; Juan de Nova Island 10 m; Tromelin Island 7 m (all unnamed locations) |
| Natural resources: | Bassas da India and Europa Island: none |
| Natural resources: | Glorioso Islands and Juan de Nova Island: guano, phosphates; coconuts |
| Natural resources: | Tromelin Island: fish |
| Land use: | Bassas da India - 100% rock, coral reef, and sand; Europa Island - 100% mangrove swamp and dry woodlands; Glorioso Islands - 100% lush vegetation and coconut palms; Juan de Nova Island - 90% forest, 10% other; Tromelin Island - 100% grasses and scattered brush |
| Natural hazards: | all islands subject to periodic cyclones |
| Natural hazards: | Bassas da India: maritime hazard since it is under water for a period of three hours prior to and following the high tide and surrounded by reefs |
| Geography - note: | Bassas da India: the atoll is a circular reef that sits atop a long-extinct, submerged volcano |
| Geography - note: | Europa Island and Juan de Nova Island: wildlife sanctuary for seabirds and sea turtles |
| Geography - note: | Glorioso Islands: the islands and rocks are surrounded by an extensive reef system |
| Geography - note: | Tromelin Island: climatologically important location for forecasting cyclones in the western Indian Ocean; wildlife sanctuary (seabirds, tortoises) |
