| Geography | Libya |
| --- | --- |
| Location: | Northern Africa, bordering the Mediterranean Sea, between Egypt, Tunisia, and Algeria |
| Geographic coordinates: | 25 00 N, 17 00 E |
| Map references: | Africa |
| Area: | total: 1,759,540 sq km |
| Area: | land: 1,759,540 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | about 2.5 times the size of Texas; slightly larger than Alaska |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Libya Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | about 2.5 times the size of Texas; slightly larger than Alaska |
| Land boundaries: | total: 4,339 km |
| Land boundaries: | border countries (6): Algeria 989 km, Chad 1050 km, Egypt 1115 km, Niger 342 km, Sudan 382 km, Tunisia 461 km |
| Coastline: | 1,770 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive fishing zone: 62 nm |
| Maritime claims: | note: Gulf of Sidra closing line - 32 degrees, 30 minutes north |
| Climate: | Mediterranean along coast; dry, extreme desert interior |
| Terrain: | mostly barren, flat to undulating plains, plateaus, depressions |
| Elevation: | mean elevation: 423 m |
| Elevation: | lowest point: Sabkhat Ghuzayyil -47 m |
| Elevation: | highest point: Bikku Bitti 2,267 m |
| Natural resources: | petroleum, natural gas, gypsum |
| Land use: | agricultural land: 8.8% (2011 est.) |
| Land use: | arable land: 1% (2011 est.) / permanent crops: 0.2% (2011 est.) / permanent pasture: 7.6% (2011 est.) |
| Land use: | forest: 0.1% (2011 est.) |
| Land use: | other: 91.1% (2011 est.) |
| Irrigated land: | 4,700 sq km (2012) |
| Population distribution: | well over 90% of the population lives along the Mediterranean coast in and between Tripoli to the west and Al Bayda to the east; the interior remains vastly underpopulated due to the Sahara and lack of surface water |
| Natural hazards: | hot, dry, dust-laden ghibli is a southern wind lasting one to four days in spring and fall; dust storms, sandstorms |
| Environment - current issues: | desertification; limited natural freshwater resources; the Great Manmade River Project, the largest water development scheme in the world, brings water from large aquifers under the Sahara to coastal cities; water pollution is a significant problem; the combined impact of sewage, oil byproducts, and industrial waste threatens Libya's coast and the Mediterranean Sea |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Law of the Sea |
| Geography - note: | note 1: more than 90% of the country is desert or semidesert |
| Geography - note: | note 2: the volcano Waw an Namus lies in south central Libya in the middle of the Sahara; the caldera is an oasis - the name means "oasis of mosquitoes" - containing several small lakes surrounded by vegetation and hosting various insects and a large diversity of birds |
