| Geography | CHINA |
| --- | --- |
| Location: | Eastern Asia, bordering the East China Sea, Korea Bay, Yellow Sea, and South China Sea, between North Korea and Vietnam |
| Geographic coordinates: | 35 00 N, 105 00 E |
| Map references: | Asia |
| Area: | total: 9,596,960 sq km |
| Area: | land: 9,326,410 sq km |
| Area: | water: 270,550 sq km |
| Area - comparative: | slightly smaller than the US |
| Land boundaries: | total: 22,457 km |
| Land boundaries: | border countries (14): Afghanistan 91 km, Bhutan 477 km, Burma 2,129 km, India 2,659 km, Kazakhstan 1,765 km, North Korea 1,352 km, Kyrgyzstan 1,063 km, Laos 475 km, Mongolia 4,630 km, Nepal 1,389 km, Pakistan 438 km, Russia (northeast) 4,133 km, Russia (northwest) 46 km, Tajikistan 477 km, Vietnam 1,297 km |
| Land boundaries: | regional borders: Hong Kong 33 km, Macau 3 km |
| Coastline: | 14,500 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | extremely diverse; tropical in south to subarctic in north |
| Terrain: | mostly mountains, high plateaus, deserts in west; plains, deltas, and hills in east |
| Elevation: | mean elevation: 1,840 m |
| Elevation: | elevation extremes: lowest point: Turpan Pendi -154 m |
| Elevation: | highest point: Mount Everest 8,850 m (highest peak in Asia and highest point on earth above sea level) |
| Natural resources: | coal, iron ore, petroleum, natural gas, mercury, tin, tungsten, antimony, manganese, molybdenum, vanadium, magnetite, aluminum, lead, zinc, rare earth elements, uranium, hydropower potential (world's largest), arable land |
| Land use: | agricultural land: 54.7% |
| Land use: | arable land 11.3%; permanent crops 1.6%; permanent pasture 41.8% |
| Land use: | forest: 22.3% |
| Land use: | other: 23% (2011 est.) |
| Irrigated land: | 690,070 sq km (2012) |
| Natural hazards: | frequent typhoons (about five per year along southern and eastern coasts); damaging floods; tsunamis; earthquakes; droughts; land subsidence |
| Natural hazards: | volcanism: China contains some historically active volcanoes including Changbaishan (also known as Baitoushan, Baegdu, or P'aektu-san), Hainan Dao, and Kunlun although most have been relatively inactive in recent centuries |
| Environment - current issues: | air pollution (greenhouse gases, sulfur dioxide particulates) from reliance on coal produces acid rain; China is the world's largest single emitter of carbon dioxide from the burning of fossil fuels; water shortages, particularly in the north; water pollution from untreated wastes; deforestation; estimated loss of one-fifth of agricultural land since 1949 to soil erosion and economic development; desertification; trade in endangered species |
| Environment - international agreements: | party to: Antarctic-Environmental Protocol, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | world's fourth largest country (after Russia, Canada, and US) and largest country situated entirely in Asia; Mount Everest on the border with Nepal is the world's tallest peak |
