| Geography | Serbia |
| --- | --- |
| Location: | Southeastern Europe, between Macedonia and Hungary |
| Geographic coordinates: | 44 00 N, 21 00 E |
| Map references: | Europe |
| Area: | total: 88,361 sq km |
| Area: | land: 88,361 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | slightly larger than South Carolina |
| Land boundaries: | total: 2,027 km |
| Land boundaries: | border countries: Albania 115 km, Bosnia and Herzegovina 302 km, Bulgaria 318 km, Croatia 241 km, Hungary 151 km, Macedonia 221 km, Montenegro 203 km, Romania 476 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | in the north, continental climate (cold winters and hot, humid summers with well distributed rainfall); in other parts, continental and Mediterranean climate (hot, dry summers and autumns and relatively cold winters with heavy snowfall) |
| Terrain: | extremely varied; to the north, rich fertile plains; to the east, limestone ranges and basins; to the southeast, ancient mountains and hills |
| Elevation extremes: | lowest point: NA |
| Elevation extremes: | highest point: Daravica 2,656 m |
| Natural resources: | oil, gas, coal, iron ore, copper, lead, zinc, antimony, chromite, nickel, gold, silver, magnesium, pyrite, limestone, marble, salt, arable land |
| Land use: | arable land: NA |
| Land use: | permanent crops: NA |
| Land use: | other: NA |
| Irrigated land: | NA |
| Natural hazards: | destructive earthquakes |
| Environment - current issues: | air pollution around Belgrade and other industrial cities; water pollution from industrial wastes dumped into the Sava which flows into the Danube |
| Environment - international agreements: | party to: Air Pollution, Biodiversity, Climate Change, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | controls one of the major land routes from Western Europe to Turkey and the Near East |
