| Geography | Burma |
| --- | --- |
| Location: | Southeastern Asia, bordering the Andaman Sea and the Bay of Bengal, between Bangladesh and Thailand |
| Geographic coordinates: | 22 00 N, 98 00 E |
| Map references: | Southeast Asia |
| Area: | total: 676,578 sq km |
| Area: | land: 653,508 sq km |
| Area: | water: 23,070 sq km |
| Area - comparative: | slightly smaller than Texas |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | East Asia/Southeast Asia :: Burma Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly smaller than Texas |
| Land boundaries: | total: 6,522 km |
| Land boundaries: | border countries (5): Bangladesh 271 km, China 2129 km, India 1468 km, Laos 238 km, Thailand 2416 km |
| Coastline: | 1,930 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | tropical monsoon; cloudy, rainy, hot, humid summers (southwest monsoon, June to September); less cloudy, scant rainfall, mild temperatures, lower humidity during winter (northeast monsoon, December to April) |
| Terrain: | central lowlands ringed by steep, rugged highlands |
| Elevation: | mean elevation: 702 m |
| Elevation: | lowest point: Andaman Sea/Bay of Bengal 0 m |
| Elevation: | highest point: Gamlang Razi 5,870 m |
| Natural resources: | petroleum, timber, tin, antimony, zinc, copper, tungsten, lead, coal, marble, limestone, precious stones, natural gas, hydropower, arable land |
| Land use: | agricultural land: 19.2% (2011 est.) |
| Land use: | arable land: 16.5% (2011 est.) / permanent crops: 2.2% (2011 est.) / permanent pasture: 0.5% (2011 est.) |
| Land use: | forest: 48.2% (2011 est.) |
| Land use: | other: 32.6% (2011 est.) |
| Irrigated land: | 22,950 sq km (2012) |
| Population distribution: | population concentrated along coastal areas and in general proximity to the shores of the Irrawaddy River; the extreme north is relatively underpopulated |
| Natural hazards: | destructive earthquakes and cyclones; flooding and landslides common during rainy season (June to September); periodic droughts |
| Environment - current issues: | deforestation; industrial pollution of air, soil, and water; inadequate sanitation and water treatment contribute to disease; rapid depletion of the country's natural resources |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94 |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | strategic location near major Indian Ocean shipping lanes; the north-south flowing Irrawaddy River is the country's largest and most important commercial waterway |
