| Geography | Guam |
| --- | --- |
| Location: | Oceania, island in the North Pacific Ocean, about three-quarters of the way from Hawaii to the Philippines |
| Geographic coordinates: | 13 28 N, 144 47 E |
| Map references: | Oceania |
| Area: | total: 544 sq km |
| Area: | land: 544 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | three times the size of Washington, DC |
| Land boundaries: | 0 km |
| Coastline: | 125.5 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Climate: | tropical marine; generally warm and humid, moderated by northeast trade winds; dry season (January to June), rainy season (July to December); little seasonal temperature variation |
| Terrain: | volcanic origin, surrounded by coral reefs; relatively flat coralline limestone plateau (source of most fresh water), with steep coastal cliffs and narrow coastal plains in north, low hills in center, mountains in south |
| Elevation: | lowest point: Pacific Ocean 0 m |
| Elevation: | highest point: Mount Lamlam 406 m |
| Natural resources: | aquatic wildlife (supporting tourism), fishing (largely undeveloped) |
| Land use: | agricultural land: 33.4% (2011 est.) |
| Land use: | arable land: 1.9% (2011 est.) / permanent crops: 16.7% (2011 est.) / permanent pasture: 14.8% (2011 est.) |
| Land use: | forest: 47.9% (2011 est.) |
| Land use: | other: 18.7% (2011 est.) |
| Irrigated land: | 2 sq km (2012) |
| Population distribution: | no large cities exist on the island, though large villages (municipalities) attract much of the population; the largest of these is Dededo |
| Natural hazards: | frequent squalls during rainy season; relatively rare but potentially destructive typhoons (June to December) |
| Environment - current issues: | fresh water scarcity; reef damage; inadequate sewage treatment; extermination of native bird populations by the rapid proliferation of the brown tree snake, an exotic, invasive species |
| Geography - note: | largest and southernmost island in the Mariana Islands archipelago and the largest island in Micronesia; strategic location in western North Pacific Ocean |
