| Geography | Georgia |
| --- | --- |
| Location: | Southwestern Asia, bordering the Black Sea, between Turkey and Russia, with a sliver of land north of the Caucasus extending into Europe; note - Georgia views itself as part of Europe; geopolitically, it can be classified as falling within Europe, the Middle East, or both |
| Geographic coordinates: | 42 00 N, 43 30 E |
| Map references: | Asia |
| Area: | total: 69,700 sq km |
| Area: | land: 69,700 sq km |
| Area: | water: 0 sq km |
| Area: | note: approximately 12,560 sq km, or about 18% of Georgia's area, is Russian occupied; the seized area includes all of Abkhazia and the breakaway region of South Ossetia, which consists of the northern part of Shida Kartli, eastern slivers of the Imereti region and Racha-Lechkhumi and Kvemo Svaneti, and part of western Mtskheta-Mtianeti |
| Area - comparative: | slightly smaller than South Carolina; slightly larger than West Virginia |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Middle East :: Georgia Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly smaller than South Carolina; slightly larger than West Virginia |
| Land boundaries: | total: 1,814 km |
| Land boundaries: | border countries (4): Armenia 219 km, Azerbaijan 428 km, Russia 894 km, Turkey 273 km |
| Coastline: | 310 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Climate: | warm and pleasant; Mediterranean-like on Black Sea coast |
| Terrain: | largely mountainous with Great Caucasus Mountains in the north and Lesser Caucasus Mountains in the south; Kolkhet'is Dablobi (Kolkhida Lowland) opens to the Black Sea in the west; Mtkvari River Basin in the east; fertile soils in river valley flood plains and foothills of Kolkhida Lowland |
| Elevation: | mean elevation: 1,432 m |
| Elevation: | lowest point: Black Sea 0 m |
| Elevation: | highest point: Mt'a Shkhara 5,193 m |
| Natural resources: | timber, hydropower, manganese deposits, iron ore, copper, minor coal and oil deposits; coastal climate and soils allow for important tea and citrus growth |
| Land use: | agricultural land: 35.5% (2011 est.) |
| Land use: | arable land: 5.8% (2011 est.) / permanent crops: 1.8% (2011 est.) / permanent pasture: 27.9% (2011 est.) |
| Land use: | forest: 39.4% (2011 est.) |
| Land use: | other: 25.1% (2011 est.) |
| Irrigated land: | 4,330 sq km (2012) |
| Population distribution: | settlement concentrated in the central valley, particularly in the capital city of Tbilisi in the east; smaller urban agglomerations dot the Black Sea coast, with Bat'umi being the largest |
| Natural hazards: | earthquakes |
| Environment - current issues: | air pollution, particularly in Rust'avi; heavy water pollution of Mtkvari River and the Black Sea; inadequate supplies of potable water; soil pollution from toxic chemicals; land and forest degradation; biodiversity loss; waste management |
| Environment - international agreements: | party to: Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | note 1: strategically located east of the Black Sea; Georgia controls much of the Caucasus Mountains and the routes through them |
| Geography - note: | note 2: the world's four deepest caves are all in Georgia, including two that are the only known caves on earth deeper than 2,000 m: Krubera Cave at -2,197 m (-7,208 ft; reached in 2012) and Veryovkina Cave at -2,212 (-7,257 ft; reached in 2018) |
