| Geography | UKRAINE |
| --- | --- |
| Location: | Eastern Europe, bordering the Black Sea, between Poland, Romania, and Moldova in the west and Russia in the east |
| Geographic coordinates: | 49 00 N, 32 00 E |
| Map references: | Asia, Europe |
| Area: | total: 603,550 sq km |
| Area: | land: 579,330 sq km |
| Area: | water: 24,220 sq km |
| Area: | note: approximately 43,133 sq km, or about 7.1% of Ukraine's area, is Russian occupied |
| Area - comparative: | almost four times the size of Georgia; slightly smaller than Texas |
| Land boundaries: | total: 5,618 km |
| Land boundaries: | border countries (7): Belarus 1,111 km, Hungary 128 km, Moldova 1,202 km, Poland 535 km, Romania 601 km, Russia 1,944 km, Slovakia 97 km |
| Coastline: | 2,782 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | continental shelf: 200 m or to the depth of exploitation |
| Climate: | temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south |
| Terrain: | mostly fertile plains (steppes) and plateaus, with mountains found only in the west (the Carpathians) or in the extreme south of the Crimean Peninsula |
| Elevation: | mean elevation: 175 m |
| Elevation: | elevation extremes: lowest point: Black Sea 0 m |
| Elevation: | highest point: Hora Hoverla 2,061 m |
| Natural resources: | iron ore, coal, manganese, natural gas, oil, salt, sulfur, graphite, titanium, magnesium, kaolin, nickel, mercury, timber, arable land |
| Land use: | agricultural land: 71.2% |
| Land use: | arable land 56.1%; permanent crops 1.5%; permanent pasture 13.6% |
| Land use: | forest: 16.8% |
| Land use: | other: 12% (2011 est.) |
| Irrigated land: | 21,670 sq km (2012) |
| Population - distribution: | densest settlement in the eastern (Donbas) and western regions; notable concentrations in and around major urban areas of Kyiv, Kharkiv, Donets'k, Dnipropetrovs'k, and Odesa |
| Natural hazards: | occasional floods; occasional droughts |
| Environment - current issues: | inadequate supplies of potable water; air and water pollution; deforestation; radiation contamination in the northeast from 1986 accident at Chornobyl' Nuclear Power Plant |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds |
| Geography - note: | strategic position at the crossroads between Europe and Asia; second-largest country in Europe after Russia |
