| Geography | UKRAINE |
| --- | --- |
| Location: | Eastern Europe, bordering the Black Sea, between Poland, Romania, and Moldova in the west and Russia in the east |
| Geographic coordinates: | 49 00 N, 32 00 E |
| Map references: | Asia, Europe |
| Area: | total: 603,550 sq km |
| Area: | land: 579,330 sq km |
| Area: | water: 24,220 sq km |
| Area - comparative: | almost four times the size of Georgia; slightly smaller than Texas |
| Area comparison map: | Land boundaries: |
| Area comparison map: | total: 5,618 km |
| Area comparison map: | border countries (7): Belarus 1,111 km, Hungary 128 km, Moldova 1,202 km, Poland 535 km, Romania 601 km, Russia 1,944 km, Slovakia 97 km |
| Coastline: | 2,782 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | continental shelf: 200 m or to the depth of exploitation |
| Climate: | temperate continental; Mediterranean only on the southern Crimean coast; precipitation disproportionately distributed, highest in west and north, lesser in east and southeast; winters vary from cool along the Black Sea to cold farther inland; warm summers across the greater part of the country, hot in the south |
| Terrain: | mostly fertile plains (steppes) and plateaus, with mountains found only in the west (the Carpathians) or in the extreme south of the Crimean Peninsula |
| Elevation extremes: | lowest point: Black Sea 0 m |
| Elevation extremes: | highest point: Hora Hoverla 2,061 m |
| Natural resources: | iron ore, coal, manganese, natural gas, oil, salt, sulfur, graphite, titanium, magnesium, kaolin, nickel, mercury, timber, arable land |
| Land use: | agricultural land: 71.2% |
| Land use: | arable land 56.1%; permanent crops 1.5%; permanent pasture 13.6% |
| Land use: | forest: 16.8% |
| Land use: | other: 12% (2011 est.) |
| Irrigated land: | 21,750 sq km (2010) |
| Total renewable water resources: | 139.6 cu km (2011) |
| Freshwater withdrawal (domestic/industrial/agricultural): | total: 19.24  cu km/yr (24%/69%/7%) |
| Freshwater withdrawal (domestic/industrial/agricultural): | per capita: 415.7  cu m/yr (2010) |
| Natural hazards: | NA |
| Environment - current issues: | inadequate supplies of potable water; air and water pollution; deforestation; radiation contamination in the northeast from 1986 accident at Chornobyl' Nuclear Power Plant |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 85, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds |
| Geography - note: | strategic position at the crossroads between Europe and Asia; second-largest country in Europe |
