| Geography | TURKEY |
| --- | --- |
| Location: | Southeastern Europe and Southwestern Asia (that portion of Turkey west of the Bosporus is geographically part of Europe), bordering the Black Sea, between Bulgaria and Georgia, and bordering the Aegean Sea and the Mediterranean Sea, between Greece and Syria |
| Geographic coordinates: | 39 00 N, 35 00 E |
| Map references: | Middle East |
| Area: | total: 783,562 sq km |
| Area: | land: 769,632 sq km |
| Area: | water: 13,930 sq km |
| Area - comparative: | slightly larger than Texas |
| Area comparison map: | Land boundaries: |
| Area comparison map: | total: 2,816 km |
| Area comparison map: | border countries (8): Armenia 311 km, Azerbaijan 17 km, Bulgaria 223 km, Georgia 273 km, Greece 192 km, Iran 534 km, Iraq 367 km, Syria 899 km |
| Coastline: | 7,200 km |
| Maritime claims: | territorial sea: 6 nm in the Aegean Sea; 12 nm in Black Sea and in Mediterranean Sea |
| Maritime claims: | exclusive economic zone: in Black Sea only: to the maritime boundary agreed upon with the former USSR |
| Climate: | temperate; hot, dry summers with mild, wet winters; harsher in interior |
| Terrain: | high central plateau (Anatolia); narrow coastal plain; several mountain ranges |
| Elevation extremes: | lowest point: Mediterranean Sea 0 m |
| Elevation extremes: | highest point: Mount Ararat 5,166 m |
| Natural resources: | coal, iron ore, copper, chromium, antimony, mercury, gold, barite, borate, celestite (strontium), emery, feldspar, limestone, magnesite, marble, perlite, pumice, pyrites (sulfur), clay, arable land, hydropower |
| Land use: | agricultural land: 49.7% |
| Land use: | arable land 26.7%; permanent crops 4%; permanent pasture 19% |
| Land use: | forest: 14.9% |
| Land use: | other: 35.4% (2011 est.) |
| Irrigated land: | 53,400 sq km (2012) |
| Total renewable water resources: | 211.6 cu km (2011) |
| Freshwater withdrawal (domestic/industrial/agricultural): | total: 40.1  cu km/yr (14%/10%/76%) |
| Freshwater withdrawal (domestic/industrial/agricultural): | per capita: 572.9  cu m/yr (2008) |
| Natural hazards: | severe earthquakes, especially in northern Turkey, along an arc extending from the Sea of Marmara to Lake Van |
| Natural hazards: | volcanism: limited volcanic activity; its three historically active volcanoes; Ararat, Nemrut Dagi, and Tendurek Dagi have not erupted since the 19th century or earlier |
| Environment - current issues: | water pollution from dumping of chemicals and detergents; air pollution, particularly in urban areas; deforestation; concern for oil spills from increasing Bosporus ship traffic |
| Environment - international agreements: | party to: Air Pollution, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Environmental Modification |
| Geography - note: | strategic location controlling the Turkish Straits (Bosporus, Sea of Marmara, Dardanelles) that link the Black and Aegean Seas; Mount Ararat, the legendary landing place of Noah's ark, is in the far eastern portion of the country |
