| Geography | European Union |
| --- | --- |
| Location: | Europe between the North Atlantic Ocean in the west and Russia, Belarus, and Ukraine to the east |
| Map references: | Europe |
| Area: | total: 4,479,968 sq km |
| Area: | rank by area (sq km): |
| Area: | 1. France (includes five overseas regions) 643,801 |
| Area: | 2. Spain 505,370 |
| Area: | 3. Sweden 450,295 |
| Area: | 4. Germany 357,022 |
| Area: | 5. Finland 338,145 |
| Area: | 6. Poland 312,685 |
| Area: | 7. Italy 301,340 |
| Area: | 8. United Kingdom (includes Gibraltar) 243,617 |
| Area: | 9. Romania 238,391 |
| Area: | 10. Greece 131,957 |
| Area: | 11. Bulgaria 110,879 |
| Area: | 12. Hungary 93,028 |
| Area: | 13. Portugal 92,090 |
| Area: | 14. Austria 83,871 |
| Area: | 15. Czechia 78,867 |
| Area: | 16. Ireland 70,273 |
| Area: | 17. Lithuania 65,300 |
| Area: | 18. Latvia 64,589 |
| Area: | 19. Croatia 56,594 |
| Area: | 20. Slovakia 49,035 |
| Area: | 21. Estonia 45,228 |
| Area: | 22. Denmark 43,094 |
| Area: | 23. Netherlands 41,543 |
| Area: | 24. Belgium 30,528 |
| Area: | 25. Slovenia 20,273 |
| Area: | 26. Cyprus 9,251 |
| Area: | 27. Luxembourg 2,586 |
| Area: | 28. Malta 316 |
| Area - comparative: | less than one-half the size of the US |
| Land boundaries: | total: 13,271 km |
| Land boundaries: | border countries (17): Albania 212 km, Andorra 118 km, Belarus 1176 km, Bosnia and Herzegovina 956 km, Holy See 3 km, Liechtenstein 34 km, Macedonia 396 km, Moldova 683 km, Monaco 6 km, Montenegro 19 km, Norway 2375 km, Russia 2435 km, San Marino 37 km, Serbia 1353 km, Switzerland 1729 km, Turkey 415 km, Ukraine 1324 km |
| Land boundaries: | note: data for European continent only |
| Coastline: | 65,992.9 km |
| Climate: | cold temperate; potentially subarctic in the north to temperate; mild wet winters; hot dry summers in the south |
| Terrain: | fairly flat along Baltic and Atlantic coasts; mountainous in the central and southern areas |
| Elevation: | -7 m lowest point: Lammefjord, Denmark |
| Elevation: | -7 Zuidplaspolder, Netherlands 4810 highest point: Mont Blanc |
| Natural resources: | iron ore, natural gas, petroleum, coal, copper, lead, zinc, bauxite, uranium, potash, salt, hydropower, arable land, timber, fish |
| Irrigated land: | 154,539.82 sq km (2011 est.) |
| Population distribution: | population distribution varies considerably from country to country, but tends to follow a pattern of coastal and river settlement, with urban agglomerations forming large hubs facilitating large scale housing, industry, and commerce; the area in and around the Netherlands, Belgium, and Luxembourg (known collectively as Benelux), is the most densely populated area in the EU |
| Natural hazards: | flooding along coasts; avalanches in mountainous area; earthquakes in the south; volcanic eruptions in Italy; periodic droughts in Spain; ice floes in the Baltic |
| Environment - current issues: | various forms of air, soil, and water pollution; see individual country entries |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulphur 94, Antarctic-Marine Living Resources, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94 |
| Environment - international agreements: | signed, but not ratified: Air Pollution-Volatile Organic Compounds |
