| Geography | Nepal |
| --- | --- |
| Location: | Southern Asia, between China and India |
| Geographic coordinates: | 28 00 N, 84 00 E |
| Map references: | Asia |
| Area: | total: 147,181 sq km |
| Area: | land: 143,351 sq km |
| Area: | water: 3,830 sq km |
| Area - comparative: | slightly larger than New York state |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | South Asia :: Nepal Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than New York state |
| Land boundaries: | total: 3,159 km |
| Land boundaries: | border countries (2): China 1389 km, India 1770 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | varies from cool summers and severe winters in north to subtropical summers and mild winters in south |
| Terrain: | Tarai or flat river plain of the Ganges in south; central hill region with rugged Himalayas in north |
| Elevation: | mean elevation: 2,565 m |
| Elevation: | lowest point: Kanchan Kalan 70 m |
| Elevation: | highest point: Mount Everest (highest peak in Asia and highest point on earth above sea level) 8,848 m |
| Natural resources: | quartz, water, timber, hydropower, scenic beauty, small deposits of lignite, copper, cobalt, iron ore |
| Land use: | agricultural land: 28.8% (2011 est.) |
| Land use: | arable land: 15.1% (2011 est.) / permanent crops: 1.2% (2011 est.) / permanent pasture: 12.5% (2011 est.) |
| Land use: | forest: 25.4% (2011 est.) |
| Land use: | other: 45.8% (2011 est.) |
| Irrigated land: | 13,320 sq km (2012) |
| Population distribution: | most of the population is divided nearly equally between a concentration in the southern-most plains of the Tarai region and the central hilly region; overall density is quite low |
| Natural hazards: | severe thunderstorms; flooding; landslides; drought and famine depending on the timing, intensity, and duration of the summer monsoons |
| Environment - current issues: | deforestation (overuse of wood for fuel and lack of alternatives); forest degradation; soil erosion; contaminated water (with human and animal wastes, agricultural runoff, and industrial effluents); unmanaged solid-waste; wildlife conservation; vehicular emissions |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: Marine Life Conservation |
| Geography - note: | landlocked; strategic location between China and India; contains eight of world's 10 highest peaks, including Mount Everest and Kanchenjunga - the world's tallest and third tallest mountains - on the borders with China and India respectively |
