| Geography | Kenya |
| --- | --- |
| Location: | Eastern Africa, bordering the Indian Ocean, between Somalia and Tanzania |
| Geographic coordinates: | 1 00 N, 38 00 E |
| Map references: | Africa |
| Area: | total: 580,367 sq km |
| Area: | land: 569,140 sq km |
| Area: | water: 11,227 sq km |
| Area - comparative: | five times the size of Ohio; slightly more than twice the size of Nevada |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Kenya Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | five times the size of Ohio; slightly more than twice the size of Nevada |
| Land boundaries: | total: 3,457 km |
| Land boundaries: | border countries (5): Ethiopia 867 km, Somalia 684 km, South Sudan 317 km, Tanzania 775 km, Uganda 814 km |
| Coastline: | 536 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | continental shelf: 200-m depth or to the depth of exploitation |
| Climate: | varies from tropical along coast to arid in interior |
| Terrain: | low plains rise to central highlands bisected by Great Rift Valley; fertile plateau in west |
| Elevation: | mean elevation: 762 m |
| Elevation: | lowest point: Indian Ocean 0 m |
| Elevation: | highest point: Mount Kenya 5,199 m |
| Natural resources: | limestone, soda ash, salt, gemstones, fluorspar, zinc, diatomite, gypsum, wildlife, hydropower |
| Land use: | agricultural land: 48.1% (2011 est.) |
| Land use: | arable land: 9.8% (2011 est.) / permanent crops: 0.9% (2011 est.) / permanent pasture: 37.4% (2011 est.) |
| Land use: | forest: 6.1% (2011 est.) |
| Land use: | other: 45.8% (2011 est.) |
| Irrigated land: | 1,030 sq km (2012) |
| Population distribution: | population heavily concentrated in the west along the shore of Lake Victoria; other areas of high density include the capital of Nairobi, and in the southeast along the Indian Ocean coast |
| Natural hazards: | recurring drought; flooding during rainy seasons |
| Natural hazards: | volcanism: limited volcanic activity; the Barrier (1,032 m) last erupted in 1921; South Island is the only other historically active volcano |
| Environment - current issues: | water pollution from urban and industrial wastes; water shortage and degraded water quality from increased use of pesticides and fertilizers; flooding; water hyacinth infestation in Lake Victoria; deforestation; soil erosion; desertification; poaching |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | the Kenyan Highlands comprise one of the most successful agricultural production regions in Africa; glaciers are found on Mount Kenya, Africa's second highest peak; unique physiography supports abundant and varied wildlife of scientific and economic value; Lake Victoria, the world's largest tropical lake and the second largest fresh water lake, is shared among three countries: Kenya, Tanzania, and Uganda |
