| Geography | Egypt |
| --- | --- |
| Location: | Northern Africa, bordering the Mediterranean Sea, between Libya and the Gaza Strip, and the Red Sea north of Sudan, and includes the Asian Sinai Peninsula |
| Geographic coordinates: | 27 00 N, 30 00 E |
| Map references: | Africa |
| Area: | total: 1,001,450 sq km |
| Area: | land: 995,450 sq km |
| Area: | water: 6,000 sq km |
| Area - comparative: | more than eight times the size of Ohio; slightly more than three times the size of New Mexico |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Egypt Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | more than eight times the size of Ohio; slightly more than three times the size of New Mexico |
| Land boundaries: | total: 2,612 km |
| Land boundaries: | border countries (4): Gaza Strip 13 km, Israel 208 km, Libya 1115 km, Sudan 1276 km |
| Coastline: | 2,450 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm or the equidistant median line with Cyprus |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm |
| Climate: | desert; hot, dry summers with moderate winters |
| Terrain: | vast desert plateau interrupted by Nile valley and delta |
| Elevation: | mean elevation: 321 m |
| Elevation: | elevation extremes: -133 m lowest point: Qattara Depression |
| Elevation: | 2629 highest point: Mount Catherine |
| Natural resources: | petroleum, natural gas, iron ore, phosphates, manganese, limestone, gypsum, talc, asbestos, lead, rare earth elements, zinc |
| Land use: | agricultural land: 3.6% (2011 est.) |
| Land use: | arable land: 2.8% (2011 est.) / permanent crops: 0.8% (2011 est.) / permanent pasture: 0% (2011 est.) |
| Land use: | forest: 0.1% (2011 est.) |
| Land use: | other: 96.3% (2011 est.) |
| Irrigated land: | 36,500 sq km (2012) |
| Population distribution: | approximately 95% of the population lives within 20 km of the Nile River and its delta; vast areas of the country remain sparsely populated or uninhabited |
| Natural hazards: | periodic droughts; frequent earthquakes; flash floods; landslides; hot, driving windstorms called khamsin occur in spring; dust storms; sandstorms |
| Environment - current issues: | agricultural land being lost to urbanization and windblown sands; increasing soil salination below Aswan High Dam; desertification; oil pollution threatening coral reefs, beaches, and marine habitats; other water pollution from agricultural pesticides, raw sewage, and industrial effluents; limited natural freshwater resources away from the Nile, which is the only perennial water source; rapid growth in population overstraining the Nile and natural resources |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | controls Sinai Peninsula, the only land bridge between Africa and remainder of Eastern Hemisphere; controls Suez Canal, a sea link between Indian Ocean and Mediterranean Sea; size, and juxtaposition to Israel, establish its major role in Middle Eastern geopolitics; dependence on upstream neighbors; dominance of Nile basin issues; prone to influxes of refugees from Sudan and the Palestinian territories |
