| Geography | Vietnam |
| --- | --- |
| Location: | Southeastern Asia, bordering the Gulf of Thailand, Gulf of Tonkin, and South China Sea, as well as China, Laos, and Cambodia |
| Geographic coordinates: | 16 10 N, 107 50 E |
| Map references: | Southeast Asia |
| Area: | total: 331,210 sq km |
| Area: | land: 310,070 sq km |
| Area: | water: 21,140 sq km |
| Area - comparative: | about three times the size of Tennessee; slightly larger than New Mexico |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | East Asia/Southeast Asia :: Vietnam Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | about three times the size of Tennessee; slightly larger than New Mexico |
| Land boundaries: | total: 4,616 km |
| Land boundaries: | border countries (3): Cambodia 1158 km, China 1297 km, Laos 2161 km |
| Coastline: | 3,444 km (excludes islands) |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | tropical in south; monsoonal in north with hot, rainy season (May to September) and warm, dry season (October to March) |
| Terrain: | low, flat delta in south and north; central highlands; hilly, mountainous in far north and northwest |
| Elevation: | mean elevation: 398 m |
| Elevation: | lowest point: South China Sea 0 m |
| Elevation: | highest point: Fan Si Pan 3,144 m |
| Natural resources: | antimony, phosphates, coal, manganese, rare earth elements, bauxite, chromate, offshore oil and gas deposits, timber, hydropower, arable land |
| Land use: | agricultural land: 34.8% (2011 est.) |
| Land use: | arable land: 20.6% (2011 est.) / permanent crops: 12.1% (2011 est.) / permanent pasture: 2.1% (2011 est.) |
| Land use: | forest: 45% (2011 est.) |
| Land use: | other: 20.2% (2011 est.) |
| Irrigated land: | 46,000 sq km (2012) |
| Population distribution: | though it has one of the highest population densities in the world, the population is not evenly dispersed; clustering is heaviest along the South China Sea and Gulf of Tonkin, with the Mekong Delta (in the south) and the Red River Valley (in the north) having the largest concentrations of people |
| Natural hazards: | occasional typhoons (May to January) with extensive flooding, especially in the Mekong River delta |
| Environment - current issues: | logging and slash-and-burn agricultural practices contribute to deforestation and soil degradation; water pollution and overfishing threaten marine life populations; groundwater contamination limits potable water supply; air pollution; growing urban industrialization and population migration are rapidly degrading environment in Hanoi and Ho Chi Minh City |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | note 1: extending 1,650 km north to south, the country is only 50 km across at its narrowest point |
| Geography - note: | note 2: Son Doong in Phong Nha-Ke Bang National Park is the world's largest cave (greatest cross sectional area) and is the largest known cave passage in the world by volume; it currently measures a total of 38.5 million cu m (about 1.35 billion cu ft); it connects to Thung cave (but not yet officially); when recognized, it will add an additional 1.6 million cu m in volume; Son Doong is so massive that it contains its own jungle, underground river, and localized weather system; clouds form inside the cave and spew out from its exits and two dolines (openings (sinkhole skylights) created by collapsed ceilings that allow sunlight to stream in) |
