| Geography | Senegal |
| --- | --- |
| Location: | Western Africa, bordering the North Atlantic Ocean, between Guinea-Bissau and Mauritania |
| Geographic coordinates: | 14 00 N, 14 00 W |
| Map references: | Africa |
| Area: | total: 196,722 sq km |
| Area: | land: 192,530 sq km |
| Area: | water: 4,192 sq km |
| Area - comparative: | slightly smaller than South Dakota; slightly larger than twice the size of Indiana |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Senegal Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly smaller than South Dakota; slightly larger than twice the size of Indiana |
| Land boundaries: | total: 2,684 km |
| Land boundaries: | border countries (5): The Gambia 749 km, Guinea 363 km, Guinea-Bissau 341 km, Mali 489 km, Mauritania 742 km |
| Coastline: | 531 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | tropical; hot, humid; rainy season (May to November) has strong southeast winds; dry season (December to April) dominated by hot, dry, harmattan wind |
| Terrain: | generally low, rolling, plains rising to foothills in southeast |
| Elevation: | mean elevation: 69 m |
| Elevation: | lowest point: Atlantic Ocean 0 m |
| Elevation: | highest point: unnamed elevation 2.8 km southeast of Nepen Diaka 648 m |
| Natural resources: | fish, phosphates, iron ore |
| Land use: | agricultural land: 46.8% (2011 est.) |
| Land use: | arable land: 17.4% (2011 est.) / permanent crops: 0.3% (2011 est.) / permanent pasture: 29.1% (2011 est.) |
| Land use: | forest: 43.8% (2011 est.) |
| Land use: | other: 9.4% (2011 est.) |
| Irrigated land: | 1,200 sq km (2012) |
| Population distribution: | the population is concentrated in the west, with Dakar anchoring a well-defined core area; approximately 70% of the population is rural as shown in this population distribution map |
| Natural hazards: | lowlands seasonally flooded; periodic droughts |
| Environment - current issues: | deforestation; overgrazing; soil erosion; desertification; periodic droughts; seasonal flooding; overfishing; weak environmental protective laws; wildlife populations threatened by poaching |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | westernmost country on the African continent; The Gambia is almost an enclave within Senegal |
