| Geography | CROATIA |
| --- | --- |
| Location: | Southeastern Europe, bordering the Adriatic Sea, between Bosnia and Herzegovina and Slovenia |
| Geographic coordinates: | 45 10 N, 15 30 E |
| Map references: | Europe |
| Area: | total: 56,594 sq km |
| Area: | land: 55,974 sq km |
| Area: | water: 620 sq km |
| Area - comparative: | slightly smaller than West Virginia |
| Land boundaries: | total: 2,237 km |
| Land boundaries: | border countries (5): Bosnia and Herzegovina 956 km, Hungary 348 km, Montenegro 19 km, Serbia 314 km, Slovenia 600 km |
| Coastline: | 5,835 km (mainland 1,777 km, islands 4,058 km) |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | continental shelf: 200-m depth or to the depth of exploitation |
| Climate: | Mediterranean and continental; continental climate predominant with hot summers and cold winters; mild winters, dry summers along coast |
| Terrain: | geographically diverse; flat plains along Hungarian border, low mountains and highlands near Adriatic coastline and islands |
| Elevation extremes: | lowest point: Adriatic Sea 0 m |
| Elevation extremes: | highest point: Dinara 1,831 m |
| Natural resources: | oil, some coal, bauxite, low-grade iron ore, calcium, gypsum, natural asphalt, silica, mica, clays, salt, hydropower |
| Land use: | agricultural land: 23.7% |
| Land use: | arable land 16%; permanent crops 1.5%; permanent pasture 6.2% |
| Land use: | forest: 34.4% |
| Land use: | other: 41.9% (2011 est.) |
| Irrigated land: | 36.27 sq km (2010) |
| Total renewable water resources: | 105.5 cu km (2011) |
| Natural hazards: | destructive earthquakes |
| Environment - current issues: | air pollution (from metallurgical plants) and resulting acid rain is damaging the forests; coastal pollution from industrial and domestic waste; landmine removal and reconstruction of infrastructure consequent to 1992-95 civil strife |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Persistent Organic Pollutants, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | controls most land routes from Western Europe to Aegean Sea and Turkish Straits; most Adriatic Sea islands lie off the coast of Croatia - some 1,200 islands, islets, ridges, and rocks |
