| Geography | KYRGYZSTAN |
| --- | --- |
| Location: | Central Asia, west of China, south of Kazakhstan |
| Geographic coordinates: | 41 00 N, 75 00 E |
| Map references: | Asia |
| Area: | total: 199,951 sq km |
| Area: | land: 191,801 sq km |
| Area: | water: 8,150 sq km |
| Area - comparative: | slightly smaller than South Dakota |
| Land boundaries: | total: 4,573 km |
| Land boundaries: | border countries (4): China 1,063 km, Kazakhstan 1,212 km, Tajikistan 984 km, Uzbekistan 1,314 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | dry continental to polar in high Tien Shan Mountains; subtropical in southwest (Fergana Valley); temperate in northern foothill zone |
| Terrain: | peaks of the Tien Shan mountain range and associated valleys and basins encompass the entire country |
| Elevation: | mean elevation: 2,988 m |
| Elevation: | elevation extremes: lowest point: Kara-Daryya (Karadar'ya) 132 m |
| Elevation: | highest point: Jengish Chokusu (Pik Pobedy) 7,439 m |
| Natural resources: | abundant hydropower; gold, rare earth metals; locally exploitable coal, oil, and natural gas; other deposits of nepheline, mercury, bismuth, lead, and zinc |
| Land use: | agricultural land: 55.4% |
| Land use: | arable land 6.7%; permanent crops 0.4%; permanent pasture 48.3% |
| Land use: | forest: 5.1% |
| Land use: | other: 39.5% (2011 est.) |
| Irrigated land: | 10,233 sq km (2012) |
| Population - distribution: | the vast majority of Kyrgyzstanis live in rural areas; densest population settlement is to the north in and around Bishkek, followed by Osh in the west; the least densely populated area is the east, southeast in the Tien Shan mountains |
| Natural hazards: | NA |
| Environment - current issues: | water pollution; many people get their water directly from contaminated streams and wells; as a result, water-borne diseases are prevalent; increasing soil salinity from faulty irrigation practices |
| Environment - international agreements: | party to: Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Hazardous Wastes, Ozone Layer Protection, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | landlocked; entirely mountainous, dominated by the Tien Shan range; 94% of the country is 1,000 m above sea level with an average elevation of 2,750 m; many tall peaks, glaciers, and high-altitude lakes |
