| Geography | NEPAL |
| --- | --- |
| Location: | Southern Asia, between China and India |
| Geographic coordinates: | 28 00 N, 84 00 E |
| Map references: | Asia |
| Area: | total: 147,181 sq km |
| Area: | land: 143,351 sq km |
| Area: | water: 3,830 sq km |
| Area - comparative: | slightly larger than Arkansas |
| Land boundaries: | total: 3,159 km |
| Land boundaries: | border countries (2): China 1,389 km, India 1,770 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | varies from cool summers and severe winters in north to subtropical summers and mild winters in south |
| Terrain: | Tarai or flat river plain of the Ganges in south; central hill region with rugged Himalayas in north |
| Elevation extremes: | lowest point: Kanchan Kalan 70 m |
| Elevation extremes: | highest point: Mount Everest 8,850 m (highest peak in Asia and highest point on earth above sea level) |
| Natural resources: | quartz, water, timber, hydropower, scenic beauty, small deposits of lignite, copper, cobalt, iron ore |
| Land use: | agricultural land: 28.8% |
| Land use: | arable land 15.1%; permanent crops 1.2%; permanent pasture 12.5% |
| Land use: | forest: 25.4% |
| Land use: | other: 45.8% (2011 est.) |
| Irrigated land: | 11,680 sq km (2003) |
| Total renewable water resources: | 210.2 cu km (2011) |
| Freshwater withdrawal (domestic/industrial/agricultural): | total: 9.5  cu km/yr (2%/0%/98%) |
| Freshwater withdrawal (domestic/industrial/agricultural): | per capita: 334.7  cu m/yr (2006) |
| Natural hazards: | severe thunderstorms; flooding; landslides; drought and famine depending on the timing, intensity, and duration of the summer monsoons |
| Environment - current issues: | deforestation (overuse of wood for fuel and lack of alternatives); contaminated water (with human and animal wastes, agricultural runoff, and industrial effluents); wildlife conservation; vehicular emissions |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: Marine Life Conservation |
| Geography - note: | landlocked; strategic location between China and India; contains eight of world's 10 highest peaks, including Mount Everest and Kanchenjunga - the world's tallest and third tallest mountains - on the borders with China and India respectively |
