| Geography | Honduras |
| --- | --- |
| Location: | Central America, bordering the Caribbean Sea, between Guatemala and Nicaragua and bordering the Gulf of Fonseca (North Pacific Ocean), between El Salvador and Nicaragua |
| Geographic coordinates: | 15 00 N, 86 30 W |
| Map references: | Central America and the Caribbean |
| Area: | total: 112,090 sq km |
| Area: | land: 111,890 sq km |
| Area: | water: 200 sq km |
| Area - comparative: | slightly larger than Tennessee |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Central America :: Honduras Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than Tennessee |
| Land boundaries: | total: 1,575 km |
| Land boundaries: | border countries (3): Guatemala 244 km, El Salvador 391 km, Nicaragua 940 km |
| Coastline: | 823 km (Caribbean Sea 669 km, Gulf of Fonseca 163 km) |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: natural extension of territory or to 200 nm |
| Climate: | subtropical in lowlands, temperate in mountains |
| Terrain: | mostly mountains in interior, narrow coastal plains |
| Elevation: | mean elevation: 684 m |
| Elevation: | elevation extremes: 0 m lowest point: Caribbean Sea |
| Elevation: | 2870 highest point: Cerro Las Minas |
| Natural resources: | timber, gold, silver, copper, lead, zinc, iron ore, antimony, coal, fish, hydropower |
| Land use: | agricultural land: 28.8% (2011 est.) |
| Land use: | arable land: 9.1% (2011 est.) / permanent crops: 4% (2011 est.) / permanent pasture: 15.7% (2011 est.) |
| Land use: | forest: 45.3% (2011 est.) |
| Land use: | other: 25.9% (2011 est.) |
| Irrigated land: | 900 sq km (2012) |
| Population distribution: | most residents live in the mountainous western half of the country; unlike other Central American nations, Honduras is the only one with an urban population that is distributed between two large centers - the capital of Tegucigalpa and the city of San Pedro Sula; the Rio Ulua valley in the north is the only densely populated lowland area |
| Natural hazards: | frequent, but generally mild, earthquakes; extremely susceptible to damaging hurricanes and floods along the Caribbean coast |
| Environment - current issues: | urban population expanding; deforestation results from logging and the clearing of land for agricultural purposes; further land degradation and soil erosion hastened by uncontrolled development and improper land use practices such as farming of marginal lands; mining activities polluting Lago de Yojoa (the country's largest source of fresh water), as well as several rivers and streams, with heavy metals |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | has only a short Pacific coast but a long Caribbean shoreline, including the virtually uninhabited eastern Mosquito Coast |
