| Geography | Yemen |
| --- | --- |
| Location: | Middle East, bordering the Arabian Sea, Gulf of Aden, and Red Sea, between Oman and Saudi Arabia |
| Geographic coordinates: | 15 00 N, 48 00 E |
| Map references: | Middle East |
| Area: | total: 527,968 sq km |
| Area: | land: 527,968 sq km |
| Area: | water: 0 sq km |
| Area: | note: includes Perim, Socotra, the former Yemen Arab Republic (YAR or North Yemen), and the former People's Democratic Republic of Yemen (PDRY or South Yemen) |
| Area - comparative: | almost four times the size of Alabama; slightly larger than twice the size of Wyoming |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Middle East :: Yemen Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | almost four times the size of Alabama; slightly larger than twice the size of Wyoming |
| Land boundaries: | total: 1,601 km |
| Land boundaries: | border countries (2): Oman 294 km, Saudi Arabia 1307 km |
| Coastline: | 1,906 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | mostly desert; hot and humid along west coast; temperate in western mountains affected by seasonal monsoon; extraordinarily hot, dry, harsh desert in east |
| Terrain: | narrow coastal plain backed by flat-topped hills and rugged mountains; dissected upland desert plains in center slope into the desert interior of the Arabian Peninsula |
| Elevation: | mean elevation: 999 m |
| Elevation: | lowest point: Arabian Sea 0 m |
| Elevation: | highest point: Jabal an Nabi Shu'ayb 3,666 m |
| Natural resources: | petroleum, fish, rock salt, marble; small deposits of coal, gold, lead, nickel, and copper; fertile soil in west |
| Land use: | agricultural land: 44.5% (2011 est.) |
| Land use: | arable land: 2.2% (2011 est.) / permanent crops: 0.6% (2011 est.) / permanent pasture: 41.7% (2011 est.) |
| Land use: | forest: 1% (2011 est.) |
| Land use: | other: 54.5% (2011 est.) |
| Irrigated land: | 6,800 sq km (2012) |
| Population distribution: | the vast majority of the population is found in the Asir Mountains (part of the larger Sarawat Mountain system), located in the far western region of the country |
| Natural hazards: | sandstorms and dust storms in summer |
| Natural hazards: | volcanism: limited volcanic activity; Jebel at Tair (Jabal al-Tair, Jebel Teir, Jabal al-Tayr, Jazirat at-Tair) (244 m), which forms an island in the Red Sea, erupted in 2007 after awakening from dormancy; other historically active volcanoes include Harra of Arhab, Harras of Dhamar, Harra es-Sawad, and Jebel Zubair, although many of these have not erupted in over a century |
| Environment - current issues: | limited natural freshwater resources; inadequate supplies of potable water; overgrazing; soil erosion; desertification |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | strategic location on Bab el Mandeb, the strait linking the Red Sea and the Gulf of Aden, one of world's most active shipping lanes |
