| Geography | Congo, Democratic Republic of the |
| --- | --- |
| Location: | Central Africa, northeast of Angola |
| Geographic coordinates: | 0 00 N, 25 00 E |
| Map references: | Africa |
| Area: | total: 2,344,858 sq km |
| Area: | land: 2,267,048 sq km |
| Area: | water: 77,810 sq km |
| Area - comparative: | slightly less than one-fourth the size of the US |
| Land boundaries: | total: 10,481 km |
| Land boundaries: | border countries: Angola 2,646 km (of which 225 km is the boundary of Angola's discontiguous Cabinda Province), Burundi 236 km, Central African Republic 1,747 km, Republic of the Congo 1,229 km, Rwanda 221 km, South Sudan 714 km, Tanzania 479 km, Uganda 877 km, Zambia 2,332 km |
| Coastline: | 37 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: boundaries with neighbors |
| Climate: | tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October), dry season (December to February); south of Equator - wet season (November to March), dry season (April to October) |
| Terrain: | vast central basin is a low-lying plateau; mountains in east |
| Elevation extremes: | lowest point: Atlantic Ocean 0 m |
| Elevation extremes: | highest point: Pic Marguerite on Mont Ngaliema (Mount Stanley) 5,110 m |
| Natural resources: | cobalt, copper, niobium, tantalum, petroleum, industrial and gem diamonds, gold, silver, zinc, manganese, tin, uranium, coal, hydropower, timber |
| Land use: | arable land: 2.9% |
| Land use: | permanent crops: 0.32% |
| Land use: | other: 96.78% (2011) |
| Irrigated land: | 105 sq km (2003) |
| Total renewable water resources: | 1,283 cu km (2011) |
| Freshwater withdrawal (domestic/industrial/agricultural): | total: 0.68  cu km/yr (68%/21%/11%) |
| Freshwater withdrawal (domestic/industrial/agricultural): | per capita: 11.25  cu m/yr (2005) |
| Natural hazards: | periodic droughts in south; Congo River floods (seasonal); active volcanoes in the east along the Great Rift Valley |
| Natural hazards: | volcanism: Nyiragongo (elev. 3,470 m), which erupted in 2002 and is experiencing ongoing activity, poses a major threat to the city of Goma, home to a quarter million people; the volcano produces unusually fast-moving lava, known to travel up to 100 km /hr; Nyiragongo has been deemed a Decade Volcano by the International Association of Volcanology and Chemistry of the Earth's Interior, worthy of study due to its explosive history and close proximity to human populations; its neighbor, Nyamuragira, which erupted in 2010, is Africa's most active volcano; Visoke is the only other historically active volcano |
| Environment - current issues: | poaching threatens wildlife populations; water pollution; deforestation; refugees responsible for significant deforestation, soil erosion, and wildlife poaching; mining of minerals (coltan - a mineral used in creating capacitors, diamonds, and gold) causing environmental damage |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: Environmental Modification |
| Geography - note: | second largest country in Africa (after Algeria) and largest country in Sub-Saharan Africa; straddles the equator; has narrow strip of land that controls the lower Congo River and is only outlet to South Atlantic Ocean; dense tropical rain forest in central river basin and eastern highlands |
