| Geography | United States |
| --- | --- |
| Location: | North America, bordering both the North Atlantic Ocean and the North Pacific Ocean, between Canada and Mexico |
| Geographic coordinates: | 38 00 N, 97 00 W |
| Map references: | North America |
| Area: | total: 9,833,517 sq km |
| Area: | land: 9,147,593 sq km |
| Area: | water: 685,924 sq km |
| Area: | note: includes only the 50 states and District of Columbia, no overseas territories |
| Area - comparative: | about half the size of Russia; about three-tenths the size of Africa; about half the size of South America (or slightly larger than Brazil); slightly larger than China; more than twice the size of the European Union |
| Land boundaries: | total: 12,048 km |
| Land boundaries: | border countries (2): Canada 8893 km (including 2477 km with Alaska), Mexico 3155 km |
| Land boundaries: | note: US Naval Base at Guantanamo Bay, Cuba is leased by the US and is part of Cuba; the base boundary is 28.5 km |
| Coastline: | 19,924 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: not specified |
| Climate: | mostly temperate, but tropical in Hawaii and Florida, arctic in Alaska, semiarid in the great plains west of the Mississippi River, and arid in the Great Basin of the southwest; low winter temperatures in the northwest are ameliorated occasionally in January and February by warm chinook winds from the eastern slopes of the Rocky Mountains |
| Terrain: | vast central plain, mountains in west, hills and low mountains in east; rugged mountains and broad river valleys in Alaska; rugged, volcanic topography in Hawaii |
| Elevation: | mean elevation: 760 m |
| Elevation: | lowest point: Death Valley (lowest point in North America) -86 m |
| Elevation: | highest point: Denali 6,190 m (Mount McKinley) (highest point in North America) |
| Elevation: | note: the peak of Mauna Kea (4,207 m above sea level) on the island of Hawaii rises about 10,200 m above the Pacific Ocean floor; by this measurement, it is the world's tallest mountain - higher than Mount Everest (8,850 m), which is recognized as the tallest mountain above sea level |
| Natural resources: | coal, copper, lead, molybdenum, phosphates, rare earth elements, uranium, bauxite, gold, iron, mercury, nickel, potash, silver, tungsten, zinc, petroleum, natural gas, timber, arable land, note, the US has the world's largest coal reserves with 491 billion short tons accounting for 27% of the world's total |
| Land use: | agricultural land: 44.5% (2011 est.) |
| Land use: | arable land: 16.8% (2011 est.) / permanent crops: 0.3% (2011 est.) / permanent pasture: 27.4% (2011 est.) |
| Land use: | forest: 33.3% (2011 est.) |
| Land use: | other: 22.2% (2011 est.) |
| Irrigated land: | 264,000 sq km (2012) |
| Population distribution: | large urban clusters are spread throughout the eastern half of the US (particularly the Great Lakes area, northeast, east, and southeast) and the western tier states; mountainous areas, principally the Rocky Mountains and Appalachian chain, deserts in the southwest, the dense boreal forests in the extreme north, and the central prarie states are less densely populated; Alaska's population is concentrated along its southern coast - with particular emphasis on the city of Anchorage - and Hawaii's is centered on the island of Oahu |
| Natural hazards: | tsunamis; volcanoes; earthquake activity around Pacific Basin; hurricanes along the Atlantic and Gulf of Mexico coasts; tornadoes in the Midwest and Southeast; mud slides in California; forest fires in the west; flooding; permafrost in northern Alaska, a major impediment to development |
