| Geography | Turkey |
| --- | --- |
| Location: | Southeastern Europe and Southwestern Asia (that portion of Turkey west of the Bosporus is geographically part of Europe), bordering the Black Sea, between Bulgaria and Georgia, and bordering the Aegean Sea and the Mediterranean Sea, between Greece and Syria |
| Geographic coordinates: | 39 00 N, 35 00 E |
| Map references: | Middle East |
| Area: | total: 783,562 sq km |
| Area: | land: 769,632 sq km |
| Area: | water: 13,930 sq km |
| Area - comparative: | slightly larger than Texas |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Middle East :: Turkey Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than Texas |
| Land boundaries: | total: 2,816 km |
| Land boundaries: | border countries (8): Armenia 311 km, Azerbaijan 17 km, Bulgaria 223 km, Georgia 273 km, Greece 192 km, Iran 534 km, Iraq 367 km, Syria 899 km |
| Coastline: | 7,200 km |
| Maritime claims: | territorial sea: 6 nm in the Aegean Sea |
| Maritime claims: | exclusive economic zone: in Black Sea only: to the maritime boundary agreed upon with the former USSR |
| Maritime claims: | 12 nm in Black Sea and in Mediterranean Sea |
| Climate: | temperate; hot, dry summers with mild, wet winters; harsher in interior |
| Terrain: | high central plateau (Anatolia); narrow coastal plain; several mountain ranges |
| Elevation: | mean elevation: 1,132 m |
| Elevation: | elevation extremes: 0 m lowest point: Mediterranean Sea |
| Elevation: | 5137 highest point: Mount Ararat |
| Natural resources: | coal, iron ore, copper, chromium, antimony, mercury, gold, barite, borate, celestite (strontium), emery, feldspar, limestone, magnesite, marble, perlite, pumice, pyrites (sulfur), clay, arable land, hydropower |
| Land use: | agricultural land: 49.7% (2011 est.) |
| Land use: | arable land: 26.7% (2011 est.) / permanent crops: 4% (2011 est.) / permanent pasture: 19% (2011 est.) |
| Land use: | forest: 14.9% (2011 est.) |
| Land use: | other: 35.4% (2011 est.) |
| Irrigated land: | 52,150 sq km (2012) |
| Population distribution: | the most densely populated area is found around the Bosporus in the northwest where 20% of the population lives in Istanbul; with the exception of Ankara, urban centers remain small and scattered throughout the interior of Anatolia; an overall pattern of peripheral development exists, particularly along the Aegean Sea coast in the west, and the Tigris and Euphrates River systems in the southeast |
| Natural hazards: | severe earthquakes, especially in northern Turkey, along an arc extending from the Sea of Marmara to Lake Van; landslides; flooding |
| Natural hazards: | volcanism: limited volcanic activity; its three historically active volcanoes; Ararat, Nemrut Dagi, and Tendurek Dagi have not erupted since the 19th century or earlier |
| Environment - current issues: | water pollution from dumping of chemicals and detergents; air pollution, particularly in urban areas; deforestation; land degradation; concern for oil spills from increasing Bosporus ship traffic; conservation of biodiversity |
| Environment - international agreements: | party to: Air Pollution, Antarctic Treaty, Biodiversity, Climate Change, Desertification, Endangered Species, Hazardous Wastes, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: Environmental Modification |
| Geography - note: | strategic location controlling the Turkish Straits (Bosporus, Sea of Marmara, Dardanelles) that link the Black and Aegean Seas; the 3% of Turkish territory north of the Straits lies in Europe and goes by the names of European Turkey, Eastern Thrace, or Turkish Thrace; the 97% of the country in Asia is referred to as Anatolia; Mount Ararat, the legendary landing place of Noah's ark, is in the far eastern portion of the country |
