| Geography | Latvia |
| --- | --- |
| Location: | Eastern Europe, bordering the Baltic Sea, between Estonia and Lithuania |
| Geographic coordinates: | 57 00 N, 25 00 E |
| Map references: | Europe |
| Area: | total: 64,589 sq km |
| Area: | land: 62,249 sq km |
| Area: | water: 2,340 sq km |
| Area - comparative: | slightly larger than West Virginia |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Europe :: Latvia Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than West Virginia |
| Land boundaries: | total: 1,370 km |
| Land boundaries: | border countries (4): Belarus 161 km, Estonia 333 km, Lithuania 544 km, Russia 332 km |
| Coastline: | 498 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: limits as agreed to by Estonia, Finland, Latvia, Sweden, and Russia |
| Maritime claims: | continental shelf: 200 m depth or to the depth of exploitation |
| Climate: | maritime; wet, moderate winters |
| Terrain: | low plain |
| Elevation: | mean elevation: 87 m |
| Elevation: | lowest point: Baltic Sea 0 m |
| Elevation: | highest point: Gaizina Kalns 312 m |
| Natural resources: | peat, limestone, dolomite, amber, hydropower, timber, arable land |
| Land use: | agricultural land: 29.2% (2011 est.) |
| Land use: | arable land: 18.6% (2011 est.) / permanent crops: 0.1% (2011 est.) / permanent pasture: 10.5% (2011 est.) |
| Land use: | forest: 54.1% (2011 est.) |
| Land use: | other: 16.7% (2011 est.) |
| Irrigated land: | 12 sq km (2012) |
| Irrigated land: | note: land in Latvia is often too wet and in need of drainage not irrigation; approximately 16,000 sq km or 85% of agricultural land has been improved by drainage |
| Population distribution: | largest concentration of people is found in and around the port and capital city of Riga; small agglomerations are scattered throughout the country |
| Natural hazards: | large percentage of agricultural fields can become waterlogged and require drainage |
| Environment - current issues: | while land, water, and air pollution are evident, Latvia's environment has benefited from a shift to service industries after the country regained independence; improvements have occurred in drinking water quality, sewage treatment, household and hazardous waste management, as well as reduction of air pollution; concerns include nature protection and the management of water resources and the protection of the Baltic Sea |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Persistent Organic Pollutants, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | most of the country is composed of fertile low-lying plains with some hills in the east |
