| Geography | Brazil |
| --- | --- |
| Location: | Eastern South America, bordering the Atlantic Ocean |
| Geographic coordinates: | 10 00 S, 55 00 W |
| Map references: | South America |
| Area: | total: 8,515,770 sq km |
| Area: | land: 8,358,140 sq km |
| Area: | water: 157,630 sq km |
| Area: | note: includes Arquipelago de Fernando de Noronha, Atol das Rocas, Ilha da Trindade, Ilhas Martin Vaz, and Penedos de Sao Pedro e Sao Paulo |
| Area - comparative: | slightly smaller than the US |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | South America :: Brazil Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly smaller than the US |
| Land boundaries: | total: 16,145 km |
| Land boundaries: | border countries (10): Argentina 1263 km, Bolivia 3403 km, Colombia 1790 km, French Guiana 649 km, Guyana 1308 km, Paraguay 1371 km, Peru 2659 km, Suriname 515 km, Uruguay 1050 km, Venezuela 2137 km |
| Coastline: | 7,491 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to edge of the continental margin |
| Climate: | mostly tropical, but temperate in south |
| Terrain: | mostly flat to rolling lowlands in north; some plains, hills, mountains, and narrow coastal belt |
| Elevation: | mean elevation: 320 m |
| Elevation: | elevation extremes: 0 m lowest point: Atlantic Ocean |
| Elevation: | 2994 highest point: Pico da Neblina |
| Natural resources: | bauxite, gold, iron ore, manganese, nickel, phosphates, platinum, tin, rare earth elements, uranium, petroleum, hydropower, timber |
| Land use: | agricultural land: 32.9% (2011 est.) |
| Land use: | arable land: 8.6% (2011 est.) / permanent crops: 0.8% (2011 est.) / permanent pasture: 23.5% (2011 est.) |
| Land use: | forest: 61.9% (2011 est.) |
| Land use: | other: 5.2% (2011 est.) |
| Irrigated land: | 54,000 sq km (2012) |
| Population distribution: | the vast majority of people live along, or relatively near, the Atlantic coast in the east; the population core is in the southeast, anchored by the cities of Sao Paolo, Brasilia, and Rio de Janeiro |
| Natural hazards: | recurring droughts in northeast; floods and occasional frost in south |
| Environment - current issues: | deforestation in Amazon Basin destroys the habitat and endangers a multitude of plant and animal species indigenous to the area; illegal wildlife trade; illegal poaching; air and water pollution in Rio de Janeiro, Sao Paulo, and several other large cities; land degradation and water pollution caused by improper mining activities; wetland degradation; severe oil spills |
| Environment - international agreements: | party to: Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Seals, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | largest country in South America and in the Southern Hemisphere; shares common boundaries with every South American country except Chile and Ecuador; most of the Pantanal, the world's largest tropical wetland, extends through the west central part of the country; shares Iguazu Falls, the world's largest waterfalls system, with Argentina |
