| Geography | Mauritania |
| --- | --- |
| Location: | Western Africa, bordering the North Atlantic Ocean, between Senegal and Western Sahara |
| Geographic coordinates: | 20 00 N, 12 00 W |
| Map references: | Africa |
| Area: | total: 1,030,700 sq km |
| Area: | land: 1,030,700 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | slightly larger than three times the size of New Mexico; about six times the size of Florida |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Africa :: Mauritania Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | slightly larger than three times the size of New Mexico; about six times the size of Florida |
| Land boundaries: | total: 5,002 km |
| Land boundaries: | border countries (4): Algeria 460 km, Mali 2236 km, Senegal 742 km, Western Sahara 1564 km |
| Coastline: | 754 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm or to the edge of the continental margin |
| Climate: | desert; constantly hot, dry, dusty |
| Terrain: | mostly barren, flat plains of the Sahara; some central hills |
| Elevation: | mean elevation: 276 m |
| Elevation: | lowest point: Sebkhet Te-n-Dghamcha -5 m |
| Elevation: | highest point: Kediet Ijill 915 m |
| Natural resources: | iron ore, gypsum, copper, phosphate, diamonds, gold, oil, fish |
| Land use: | agricultural land: 38.5% (2011 est.) |
| Land use: | arable land: 0.4% (2011 est.) / permanent crops: 0% (2011 est.) / permanent pasture: 38.1% (2011 est.) |
| Land use: | forest: 0.2% (2011 est.) |
| Land use: | other: 61.3% (2011 est.) |
| Irrigated land: | 450 sq km (2012) |
| Population distribution: | with most of the country being a desert, vast areas of the country, particularly in the central, northern, and eastern areas, are without sizeable population clusters; half the population lives in or around the coastal capital of Nouakchott; smaller clusters are found near the southern border with Mali and Senegal as shown in this population distribution map |
| Natural hazards: | hot, dry, dust/sand-laden sirocco wind primarily in March and April; periodic droughts |
| Environment - current issues: | overgrazing, deforestation, and soil erosion aggravated by drought are contributing to desertification; limited natural freshwater resources away from the Senegal, which is the only perennial river; locust infestation |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | Mauritania is considered both a part of North Africa's Maghreb region and West Africa's Sahel region; most of the population is concentrated in the cities of Nouakchott and Nouadhibou and along the Senegal River in the southern part of the country |
