| Geography | French Southern and Antarctic Lands |
| --- | --- |
| Location: | southeast and east of Africa, islands in the southern Indian Ocean, some near Madagascar and others about equidistant between Africa, Antarctica, and Australia; note - French Southern and Antarctic Lands include Ile Amsterdam, Ile Saint-Paul, Iles Crozet, Iles Kerguelen, Bassas da India, Europa Island, Glorioso Islands, Juan de Nova Island, and Tromelin Island in the southern Indian Ocean, along with the French-claimed sector of Antarctica, "Adelie Land"; the US does not recognize the French claim to "Adelie Land" |
| Geographic coordinates: | Ile Amsterdam (Ile Amsterdam et Ile Saint-Paul): 37 50 S, 77 32 E; |
| Geographic coordinates: | Ile Saint-Paul (Ile Amsterdam et Ile Saint-Paul): 38 72 S, 77 53 E; |
| Geographic coordinates: | Iles Crozet: 46 25 S, 51 00 E; |
| Geographic coordinates: | Iles Kerguelen: 49 15 S, 69 35 E; |
| Geographic coordinates: | Bassas da India (Iles Eparses): 21 30 S, 39 50 E; |
| Geographic coordinates: | Europa Island (Iles Eparses): 22 20 S, 40 22 E; |
| Geographic coordinates: | Glorioso Islands (Iles Eparses): 11 30 S, 47 20 E; |
| Geographic coordinates: | Juan de Nova Island (Iles Eparses): 17 03 S, 42 45 E; |
| Geographic coordinates: | Tromelin Island (Iles Eparses): 15 52 S, 54 25 E |
| Map references: | Antarctic RegionAfrica |
| Area: | Ile Amsterdam (Ile Amsterdam et Ile Saint-Paul): total - 55 sq km; land - 55 sq km; water - 0 sq km |
| Area: | Ile Saint-Paul (Ile Amsterdam et Ile Saint-Paul): total - 7 sq km; land - 7 sq km; water - 0 sq km |
| Area: | Iles Crozet: total - 352 sq km; land - 352 sq km; water - 0 sq km |
| Area: | Iles Kerguelen: total - 7,215 sq km; land - 7,215 sq km; water - 0 sq km |
| Area: | Bassas da India (Iles Eparses): total - 80 sq km; land - 0.2 sq km; water - 79.8 sq km (lagoon) |
| Area: | Europa Island (Iles Eparses): total - 28 sq km; land - 28 sq km; water - 0 sq km |
| Area: | Glorioso Islands (Iles Eparses): total - 5 sq km; land - 5 sq km; water - 0 sq km |
| Area: | Juan de Nova Island (Iles Eparses): total - 4.4 sq km; land - 4.4 sq km; water - 0 sq km |
