| Geography | Serbia |
| --- | --- |
| Location: | Southeastern Europe, between Macedonia and Hungary |
| Geographic coordinates: | 44 00 N, 21 00 E |
| Map references: | Europe |
| Area: | total: 77,474 sq km |
| Area: | land: 77,474 sq km |
| Area: | water: 0 sq km |
| Area - comparative: | slightly smaller than South Carolina |
| Land boundaries: | total: 2,322 km |
| Land boundaries: | border countries (8): Bosnia and Herzegovina 345 km, Bulgaria 344 km, Croatia 314 km, Hungary 164 km, Kosovo 366 km, Macedonia 101 km, Montenegro 157 km, Romania 531 km |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | in the north, continental climate (cold winters and hot, humid summers with well-distributed rainfall); in other parts, continental and Mediterranean climate (relatively cold winters with heavy snowfall and hot, dry summers and autumns) |
| Terrain: | extremely varied; to the north, rich fertile plains; to the east, limestone ranges and basins; to the southeast, ancient mountains and hills |
| Elevation: | mean elevation: 442 m |
| Elevation: | elevation extremes: 35 m lowest point: Danube and Timok Rivers |
| Elevation: | 2169 highest point: Midzor |
| Natural resources: | oil, gas, coal, iron ore, copper, zinc, antimony, chromite, gold, silver, magnesium, pyrite, limestone, marble, salt, arable land |
| Land use: | agricultural land: 57.9% (2011 est.) |
| Land use: | arable land: 37.7% (2011 est.) / permanent crops: 3.4% (2011 est.) / permanent pasture: 16.8% (2011 est.) |
| Land use: | forest: 31.6% (2011 est.) |
| Land use: | other: 10.5% (2011 est.) |
| Irrigated land: | 950 sq km (2012) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations |
| Natural hazards: | destructive earthquakes |
| Environment - current issues: | air pollution around Belgrade and other industrial cities; water pollution from industrial wastes dumped into the Sava which flows into the Danube; inadequate management of domestic, industrial, and hazardous waste |
| Environment - international agreements: | party to: Air Pollution, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | landlocked; controls one of the major land routes from Western Europe to Turkey and the Near East |
