| Geography | Spain |
| --- | --- |
| Location: | Southwestern Europe, bordering the Mediterranean Sea, North Atlantic Ocean, Bay of Biscay, and Pyrenees Mountains; southwest of France |
| Geographic coordinates: | 40 00 N, 4 00 W |
| Map references: | Europe |
| Area: | total: 505,370 sq km |
| Area: | land: 498,980 sq km |
| Area: | water: 6,390 sq km |
| Area: | note: there are two autonomous cities - Ceuta and Melilla - and 17 autonomous communities including Balearic Islands and Canary Islands, and three small Spanish possessions off the coast of Morocco - Islas Chafarinas, Penon de Alhucemas, and Penon de Velez de la Gomera |
| Area - comparative: | almost five times the size of Kentucky; slightly more than twice the size of Oregon |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | Europe :: Spain Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | almost five times the size of Kentucky; slightly more than twice the size of Oregon |
| Land boundaries: | total: 1,952.7 km |
| Land boundaries: | border countries (6): Andorra 63 km, France 646 km, Gibraltar 1.2 km, Portugal 1224 km, Morocco (Ceuta) 8 km, Morocco (Melilla) 10.5 km |
| Land boundaries: | note: an additional 75-meter border segment exists between Morocco and the Spanish exclave of Penon de Velez de la Gomera |
| Coastline: | 4,964 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm (applies only to the Atlantic Ocean) |
| Maritime claims: | contiguous zone: 24 nm |
| Climate: | temperate; clear, hot summers in interior, more moderate and cloudy along coast; cloudy, cold winters in interior, partly cloudy and cool along coast |
| Terrain: | large, flat to dissected plateau surrounded by rugged hills; Pyrenees Mountains in north |
| Elevation: | mean elevation: 660 m |
| Elevation: | elevation extremes: 0 m lowest point: Atlantic Ocean |
| Elevation: | 3718 highest point: Pico de Teide (Tenerife) on Canary Islands |
| Natural resources: | coal, lignite, iron ore, copper, lead, zinc, uranium, tungsten, mercury, pyrites, magnesite, fluorspar, gypsum, sepiolite, kaolin, potash, hydropower, arable land |
| Land use: | agricultural land: 54.1% (2011 est.) |
| Land use: | arable land: 24.9% (2011 est.) / permanent crops: 9.1% (2011 est.) / permanent pasture: 20.1% (2011 est.) |
| Land use: | forest: 36.8% (2011 est.) |
| Land use: | other: 9.1% (2011 est.) |
| Irrigated land: | 38,000 sq km (2012) |
| Population distribution: | with the notable exception of Madrid, Sevilla, and Zaragoza, the largest urban agglomerations are found along the Mediterranean and Atlantic coasts; numerous smaller cities are spread throughout the interior reflecting Spain's agrarian heritage; dense settlement is found around the capital of Madrid, as well as the port city of Barcelona |
| Natural hazards: | periodic droughts, occasional flooding |
| Natural hazards: | volcanism: volcanic activity in the Canary Islands, located off Africa's northwest coast; Teide (3,715 m) has been deemed a Decade Volcano by the International Association of Volcanology and Chemistry of the Earth's Interior, worthy of study due to its explosive history and close proximity to human populations; La Palma (2,426 m), which last erupted in 1971, is the most active of the Canary Islands volcanoes; Lanzarote is the only other historically active volcano |
| Environment - current issues: | pollution of the Mediterranean Sea from raw sewage and effluents from the offshore production of oil and gas; water quality and quantity nationwide; air pollution; deforestation; desertification |
| Environment - international agreements: | party to: Air Pollution, Air Pollution-Nitrogen Oxides, Air Pollution-Sulfur 94, Air Pollution-Volatile Organic Compounds, Antarctic-Environmental Protocol, Antarctic-Marine Living Resources, Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Marine Dumping, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: Air Pollution-Persistent Organic Pollutants |
| Geography - note: | strategic location along approaches to Strait of Gibraltar; Spain controls a number of territories in northern Morocco including the enclaves of Ceuta and Melilla, and the islands of Penon de Velez de la Gomera, Penon de Alhucemas, and Islas Chafarinas |
