| Geography | Cambodia |
| --- | --- |
| Location: | Southeastern Asia, bordering the Gulf of Thailand, between Thailand, Vietnam, and Laos |
| Geographic coordinates: | 13 00 N, 105 00 E |
| Map references: | Southeast Asia |
| Area: | total: 181,035 sq km |
| Area: | land: 176,515 sq km |
| Area: | water: 4,520 sq km |
| Area - comparative: | one and a half times the size of Pennsylvania; slightly smaller than Oklahoma |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | East Asia/Southeast Asia :: Cambodia Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | one and a half times the size of Pennsylvania; slightly smaller than Oklahoma |
| Land boundaries: | total: 2,530 km |
| Land boundaries: | border countries (3): Laos 555 km, Thailand 817 km, Vietnam 1158 km |
| Coastline: | 443 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 24 nm |
| Maritime claims: | continental shelf: 200 nm |
| Climate: | tropical; rainy, monsoon season (May to November); dry season (December to April); little seasonal temperature variation |
| Terrain: | mostly low, flat plains; mountains in southwest and north |
| Elevation: | mean elevation: 126 m |
| Elevation: | lowest point: Gulf of Thailand 0 m |
| Elevation: | highest point: Phnum Aoral 1,810 m |
| Natural resources: | oil and gas, timber, gemstones, iron ore, manganese, phosphates, hydropower potential, arable land |
| Land use: | agricultural land: 32.1% (2011 est.) |
| Land use: | arable land: 22.7% (2011 est.) / permanent crops: 0.9% (2011 est.) / permanent pasture: 8.5% (2011 est.) |
| Land use: | forest: 56.5% (2011 est.) |
| Land use: | other: 11.4% (2011 est.) |
| Irrigated land: | 3,540 sq km (2012) |
| Population distribution: | population concentrated in the southeast, particularly in and around the capital of Phnom Penh; further distribution is linked closely to the Tonle Sap and Mekong Rivers |
| Natural hazards: | monsoonal rains (June to November); flooding; occasional droughts |
| Environment - current issues: | illegal logging activities throughout the country and strip mining for gems in the western region along the border with Thailand have resulted in habitat loss and declining biodiversity (in particular, destruction of mangrove swamps threatens natural fisheries); soil erosion; in rural areas, most of the population does not have access to potable water; declining fish stocks because of illegal fishing and overfishing; coastal ecosystems choked by sediment washed loose from deforested areas inland |
| Environment - international agreements: | party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 94, Wetlands, Whaling |
| Environment - international agreements: | signed, but not ratified: Law of the Sea |
| Geography - note: | a land of paddies and forests dominated by the Mekong River and Tonle Sap (Southeast Asia's largest freshwater lake) |
