| Geography | Venezuela |
| --- | --- |
| Location: | Northern South America, bordering the Caribbean Sea and the North Atlantic Ocean, between Colombia and Guyana |
| Geographic coordinates: | 8 00 N, 66 00 W |
| Map references: | South America |
| Area: | total: 912,050 sq km |
| Area: | land: 882,050 sq km |
| Area: | water: 30,000 sq km |
| Area - comparative: | almost six times the size of Georgia; slightly more than twice the size of California |
| Area - comparative: | Area comparison map: [Area comparison map] |
| Area - comparative: | The World Factbook Field Image Modal |
| Area - comparative: | Ã— |
| Area - comparative: | South America :: Venezuela Print |
| Area - comparative: | [Area comparison map] |
| Area - comparative: | Image Description |
| Area - comparative: | almost six times the size of Georgia; slightly more than twice the size of California |
| Land boundaries: | total: 5,267 km |
| Land boundaries: | border countries (3): Brazil 2137 km, Colombia 2341 km, Guyana 789 km |
| Coastline: | 2,800 km |
| Maritime claims: | territorial sea: 12 nm |
| Maritime claims: | exclusive economic zone: 200 nm |
| Maritime claims: | contiguous zone: 15 nm |
| Maritime claims: | continental shelf: 200-m depth or to the depth of exploitation |
| Climate: | tropical; hot, humid; more moderate in highlands |
| Terrain: | Andes Mountains and Maracaibo Lowlands in northwest; central plains (llanos); Guiana Highlands in southeast |
| Elevation: | mean elevation: 450 m |
| Elevation: | elevation extremes: 0 m lowest point: Caribbean Sea |
| Elevation: | 4978 highest point: Pico Bolivar |
| Natural resources: | petroleum, natural gas, iron ore, gold, bauxite, other minerals, hydropower, diamonds |
| Land use: | agricultural land: 24.5% (2011 est.) |
| Land use: | arable land: 3.1% (2011 est.) / permanent crops: 0.8% (2011 est.) / permanent pasture: 20.6% (2011 est.) |
| Land use: | forest: 52.1% (2011 est.) |
| Land use: | other: 23.4% (2011 est.) |
| Irrigated land: | 10,550 sq km (2012) |
| Population distribution: | most of the population is concentrated in the northern and western highlands along an eastern spur at the northern end of the Andes, an area that includes the capital of Caracas |
| Natural hazards: | subject to floods, rockslides, mudslides; periodic droughts |
| Environment - current issues: | sewage pollution of Lago de Valencia; oil and urban pollution of Lago de Maracaibo; deforestation; soil degradation; urban and industrial pollution, especially along the Caribbean coast; threat to the rainforest ecosystem from irresponsible mining operations |
| Environment - international agreements: | party to: Antarctic Treaty, Biodiversity, Climate Change, Climate Change-Kyoto Protocol, Desertification, Endangered Species, Hazardous Wastes, Marine Life Conservation, Ozone Layer Protection, Ship Pollution, Tropical Timber 83, Tropical Timber 94, Wetlands |
| Environment - international agreements: | signed, but not ratified: none of the selected agreements |
| Geography - note: | note 1: the country lies on major sea and air routes linking North and South America |
| Geography - note: | note 2: Venezuela has some of the most unique geology in the world; tepuis are massive table-top mountains of the western Guiana Highlands that tend to be isolated and thus support unique endemic plant and animal species; their sheer cliffsides account for some of the most spectacular waterfalls in the world including Angel Falls, the world's highest (979 m) that drops off Auyan Tepui |
