| Geography | South Sudan |
| --- | --- |
| Location: | East-Central Africa; south of Sudan, north of Uganda and Kenya, west of Ethiopia |
| Geographic coordinates: | 8 00 N, 30 00 E |
| Map references: | Africa |
| Area: | total: 644,329 sq km |
| Area - comparative: | slightly smaller than Texas |
| Land boundaries: | total: 5,413 km |
| Land boundaries: | border countries: Central African Republic 989 km, Democratic Republic of the Congo 639 km, Ethiopia 934 km, Kenya 232 km, Sudan 2,184 km, Uganda 435 km |
| Land boundaries: | note: South Sudan-Sudan boundary represents 1 January 1956 alignment; final alignment pending negotiations and demarcation; final sovereignty status of Abyei Area pending negotiations between South Sudan and Sudan |
| Coastline: | 0 km (landlocked) |
| Maritime claims: | none (landlocked) |
| Climate: | hot with seasonal rainfall influenced by the annual shift of the Inter-Tropical Convergence Zone; rainfall is heaviest in the upland areas of the south and diminishes to the north |
| Terrain: | the terrain gradually rises from plains in the north and center to southern highlands along the border with Uganda and Kenya; the White Nile, flowing north out of the uplands of Central Africa, is the major geographic feature of the country supporting agriculture and extensive wild animal populations; The Sudd (a name derived from floating vegetation that hinders navigation) is a large swampy area of more than 100,000 sq km fed by the waters of the White Nile that dominates the center of the country |
| Elevation extremes: | Lowest point: NA |
| Elevation extremes: | highest point: Kinyeti 3,187 m |
| Natural resources: | hydropower, fertile agricultural land, gold, diamonds, petroleum, hardwoods, limestone, iron ore, copper, chromium ore, zinc, tungsten, mica, silver |
| Geography - note: | The Sudd is a vast swamp in South Sudan, formed by the White Nile, comprising more than 15% of the total area; it is one of the world's largest wetlands |
